,DalStudentLife,DalMCS,DalhousieChem,DalGradStudies,_dalsha,DalTigers
342,"{'date': '04/10/2019, 13:50:13', 'full_text': 'Have you heard of our Ask A Chaplain service? You can get free, confidential replies to your faith-related questions – even when you’re away from campus! Check out the service here: https://t.co/ljkPDiWI98 #DalhousieU https://t.co/8xItcIS856'}","{'date': '10/21/2018, 14:34:14', 'full_text': 'RT @rgwooden: Another @DalMCS employer scores a win tonight, this time in the Best Youth Employer Large Business - congrats @IrvingShipbuil…'}","{'date': '07/16/2018, 20:48:49', 'full_text': 'RT @ShadDalhousie: First year chemistry at Dal must be awesome with lab instructors like this! Frozen yogurt made with liquid nitrogen is a…'}","{'date': '10/10/2019, 13:35:44', 'full_text': ""Today is the annual Killam Celebration Luncheon and Awards! 🎉 We'll commemorate the over 50 years of funding the @Killamtrusts have provided to @DalhousieU's graduate scholars, postdoctoral fellows and professors and welcome our newest Killam Laureates https://t.co/pALpcD8asU""}","{'date': '11/13/2019, 15:51:34', 'full_text': 'DYK? Dr. Gujar is a graduate of our #Master of #HealthAdministration program? 👏 @DalMedSchool #DiscoveryDaysHS @_grace_johnston @DalhousieU @DalHealth https://t.co/pQHllxSTQw'}","{'date': '01/17/2020, 17:15:10', 'full_text': ""Good luck to our Tigers women's volleyball team!\nThey're off to challenge our crosstown rivals @SMUHuskies on their home court at 7pm! You can catch all the action on AUStv!\n#GoTigers #FearTheRoar""}"
343,"{'date': '04/09/2019, 23:00:57', 'full_text': 'The MMI workshop is coming up this Friday! Register on MyCareer so that you can ace your upcoming MMI style interviews! https://t.co/IMpTovg2q6 https://t.co/RFoSJEM5iK'}","{'date': '10/21/2018, 14:33:23', 'full_text': 'RT @rgwooden: Loads of students and parents here to learn about Commerce and Management Programs @Dalnews @DalMCS @RoweBusiness #DalOpenHou…'}","{'date': '07/16/2018, 20:48:20', 'full_text': ""RT @ShadDalhousie: We're with @dasoglab @DalChemistry @DalScience to learn about materials science! #SHAD2018 https://t.co/s6DArPSeNg""}","{'date': '10/10/2019, 12:26:17', 'full_text': 'Calling all singers! 🗣 Your voices are needed at 2:30pm TODAY at the #DalUnited Way kick-off event with The Big Sing at the Dalhousie Arts Centre! See you there! https://t.co/myGzM94eM7 https://t.co/cB5MJj2oDb'}","{'date': '11/13/2019, 15:40:44', 'full_text': 'RT @CCHL_CCLS: With the College’s new online nomination forms it is now easier than ever to nominate an individual, team, or organization f…'}","{'date': '01/17/2020, 16:59:37', 'full_text': ""This month's @TDFSports First-Year Feature takes a closer look at swimmer Martine Nyhof and her path to the AUS!\nCheck out the link below, then you can watch her and the rest of the swim team in action this weekend on AUStv! \n📰  https://t.co/PwpGrLvrHG\n#PlantStrong #TigerPride https://t.co/gZojQbSnoM""}"
344,"{'date': '04/09/2019, 20:15:16', 'full_text': ""Study tip of the day: Study difficult subjects first! When studying it's easy to lose motivation, so prevent this by leaving the topics you enjoy the most to review last! #DSL #DalStudyTips https://t.co/7YUfjIjyUf""}","{'date': '10/20/2018, 17:00:31', 'full_text': 'The MCS team is hiring part-time Assistant CRS roles this winter! This is a great opportunity to make a little extra money while helping lower year students get ready for their co-op placements. Apply now via myCareer. https://t.co/hys5HxZNLn'}","{'date': '07/15/2018, 18:42:42', 'full_text': 'RT @ThompsonLabDal: Congrats to Roberto and Sarah for having their picture featured by #CENChemPics #Starburst #RealTimeChem #Science #Chem…'}","{'date': '10/09/2019, 18:08:23', 'full_text': ""RT @DalhousieU: It's Women's History Month in Canada. At #DalhousieU, women in our community #makeanimpact every day. Throughout October we…""}","{'date': '11/13/2019, 15:38:47', 'full_text': '#healthychange starts with each of us, beginning with👉#selfcare 👏💕on this #WorldKindnessDay \n\nThanks for the #challenge @DalHealth @brendini5 @DalhousieU ✅ https://t.co/ZFFrWQt2in'}","{'date': '01/17/2020, 16:42:45', 'full_text': 'This morning we braved the weather to meet the new @DalPres Dr. Deep Saini! \nDeep, we are looking forward to hosting you at games later this semester (once the jet lag is gone!) https://t.co/BorD2fh3DQ'}"
345,"{'date': '04/09/2019, 13:15:25', 'full_text': ""Want to learn some tricks for writing multiple choice exams? Come to the 'Strategies for Multiple Choice Exams' workshop happening TODAY from 5:30-6:30pm in room 2107 of the Mona Campbell building! #DalhousieU #DalStudyTips https://t.co/Ok0Gt9BkUz""}","{'date': '10/19/2018, 16:30:35', 'full_text': ""Ever wonder what it's like to work in a specific industry? Join current student and alumni panelists to gain first-hand industry specific advice at the Industry Student Panel &amp; Fair on Oct. 30th! Register now via myCareer. #MCSCareerFest https://t.co/1ptb56YPo4""}","{'date': '07/13/2018, 14:11:06', 'full_text': 'https://t.co/r7Uo1Gs5iZ'}","{'date': '10/09/2019, 17:00:24', 'full_text': 'Congratulations to all the #DalhousieU graduate students who walked across the stage yesterday during Fall Convocation! All the best from us at the Faculty of Graduate Studies 🎉🎓 #DalProud #DalGrad https://t.co/In7xzVjGrt'}","{'date': '11/13/2019, 15:24:05', 'full_text': 'RT @insidehighered: Happy #WorldKindnessDay to all of our readers! Be kind to each other today and everyday. https://t.co/AQCe4QwHsU'}","{'date': '01/17/2020, 16:19:48', 'full_text': ""Attention Tigers fans! The men's hockey game scheduled for tonight vs @UPEIPanthers has been postponed to a later, yet to be determined, date. @AUS_SUA @halifaxforum""}"
346,"{'date': '04/08/2019, 21:20:11', 'full_text': 'Study Tip of the Day: Check exam details daily! You never know when things may change #DSL #DalStudyTips https://t.co/lqykHSYDbs'}","{'date': '10/17/2018, 18:57:17', 'full_text': 'New Workshop Alert! Take your LinkedIn profile and job search strategy to the next level! https://t.co/xglUJm5j7N'}","{'date': '07/13/2018, 14:09:12', 'full_text': 'Check out the special issue in Canadian Journal of Chemistry @cdnsciencepub with contributions from the present and past members of chemistry department celebrating the 200th anniversary of Dalhousie University - https://t.co/nY3GoHpRFx @DalScience  #Dal200'}","{'date': '10/09/2019, 16:18:55', 'full_text': 'October 6-12 is Mental Illness Awareness Week. Join us in spreading awareness and end the stigma around mental illness #MIAW19 https://t.co/5sJ2eSghCj'}","{'date': '11/13/2019, 15:21:14', 'full_text': 'Good question...any ideas? 👇the future of #healthcare in 🇨🇦 #ThinkDigitalHealth @carlyweeks @Infoway https://t.co/ie97GAQkyo'}","{'date': '01/16/2020, 19:37:32', 'full_text': 'We did some more redecorating today in @dalplex! Check out our revamped Hall of Fame! #TigerPride https://t.co/eCQLipNwAX'}"
347,"{'date': '04/08/2019, 18:01:41', 'full_text': 'The deadline for winter 2020 exchange applications is approaching - visit https://t.co/rzZbVNxWSm to learn more and apply by April 15th! https://t.co/fKYy1eIVfo'}","{'date': '10/15/2018, 11:00:57', 'full_text': 'The Industry Student Panel &amp; Fair is just a few short weeks away! This event is a great way to receive first-hand advice from students who have gained real-world industry experience. Register via myCareer. #MCSCareerFest https://t.co/bi3GVcvIHP'}","{'date': '07/12/2018, 15:08:13', 'full_text': ""RT @Dal_Alumni: This week's Dalhousie Original, Dr. Axel Becke developed a formula to improve the accuracy of chemical  calculations using…""}","{'date': '10/09/2019, 16:15:10', 'full_text': ""#Dalgrad Carolyn Crane talks about the 'lightbulb moments' 💡 during her MSc Physiotherapy that made her realize she was on the right career path @DalHealth @DalPhysio https://t.co/xXIHft3vdl""}","{'date': '11/13/2019, 15:14:39', 'full_text': ""RT @nccmt: What's the most efficient way to find research evidence? The Searching for Research Evidence module will show you! https://t.co/…""}","{'date': '01/16/2020, 16:01:54', 'full_text': 'We are excited to be hosting our Bell Let’s Talk game on Saturday Jan. 25 during the volleyball games at 1pm and 2:30pm! \n\nP.S. check out the link below for a quote from Sascha Kappos! https://t.co/IjkK2aR9Oq'}"
348,"{'date': '04/08/2019, 17:29:12', 'full_text': ""RT @dalplex: Heads up Dal yogis! Apologies for the short notice but today's 4pm DSU Yoga class at Dalplex is cancelled due to instructor il…""}","{'date': '10/14/2018, 16:01:02', 'full_text': 'ISSP is holding an Interview Prep Session on Tuesday. This is a great opportunity to learn some tips and tricks to take your interview skills to the next level! #MCSCareerFest https://t.co/l6t5mVTT5v'}","{'date': '07/12/2018, 15:07:56', 'full_text': ""RT @Dalnews: Each week throughout our 200th year, we'll celebrate a Dalhousie Original – pioneers, innovators, creators and thinkers who ma…""}","{'date': '10/09/2019, 16:09:06', 'full_text': 'International Dal graduate students &amp; their families are invited to participate in @DalIntcentre research focus groups with the aim to better understand their specific challenges &amp; types of support needed. Oct 9 and 15, 5 to 6:30pm. Food provided. Send RSVP to said.msabaha@dal.ca'}","{'date': '11/13/2019, 14:27:32', 'full_text': 'RT @DalGradStudies: Take your research to the stars! Eligible graduate students are invited to apply for a 10-week internship with @NASA in…'}","{'date': '01/16/2020, 03:55:14', 'full_text': 'MBB: shout out to tonight’s @SubwayAtlantic Player of the Game, Alex Carson! Alex had 22 points and 6 rebounds in the Tigers win tonight! #GoTigers #SubwayFuel @AUS_SUA https://t.co/3BeMZdeWX6'}"
349,"{'date': '04/08/2019, 17:27:47', 'full_text': 'RT @DalPres: Stop by the Killam and see Sam and Carter from the @DalStudentLife Street Team for coffee and cookies for the last day of clas…'}","{'date': '10/11/2018, 13:00:48', 'full_text': ""Check out this week's student spotlight on Lotte Van Eijck who found a self-developed co-op job with @KiehlsCanada! You can find the full story on the Dal Management Instagram account. #MCSCareerFest #DalProud https://t.co/SfKmjh85pP""}","{'date': '07/06/2018, 21:34:50', 'full_text': 'RT @acsdchas: Graduate &amp; Postdoctoral Chemist: Confused About Where to Go Next? https://t.co/bOCazSi4OV https://t.co/spuHGnCTNN'}","{'date': '10/09/2019, 14:59:30', 'full_text': 'RT @DalhousieU: A special recognition to all members of the #DalhousieU community marking Yom Kippur today — the holiest day of the Jewish…'}","{'date': '11/13/2019, 13:34:07', 'full_text': 'RT @CIHI_ICIS: Why being kind could help you live longer, via @BBCWorld https://t.co/8Pjq0E7r7H #WorldKindnessDay'}","{'date': '01/16/2020, 02:00:27', 'full_text': 'MBB: Tigers win with a final score of 85-67 over @AcadiaAthletics.\n\nAlex Carson lead the team with 22 pts and 6 rebounds.\nKeevan Veinot posted 19 pts and 9 rebounds. \n\n@AUS_SUA\n#GoTigers #FearTheRoar'}"
350,"{'date': '04/08/2019, 17:10:15', 'full_text': ""Studies have shown that being around therapy dogs can calm people's heart rates &amp; help them focus more on the present, which can lower levels of anxiety and stress - and make people smile! Come meet Oscar for Puppy Power Hour, every Thursday from 3-4pm in the SUB. #DalhousieU https://t.co/W2S6S83LkQ""}","{'date': '10/04/2018, 16:44:02', 'full_text': 'RT @Gerald_Walsh: Relax And Put Your Best Foot Forward In Job Interviews https://t.co/UDXGPAg428 https://t.co/IkcTL8zFPn'}","{'date': '07/03/2018, 12:23:58', 'full_text': 'The department welcomes its newest member, Dr. Saurabh Chitnis (@chitnislab). We wish you all the best. https://t.co/5DwkE9EadC'}","{'date': '10/09/2019, 14:13:23', 'full_text': ""RT @DalMedNB: A hearty congratulations to our very first PhD student, Dr. Kenneth D'Souza, from all of us at DMNB! Pictured here at the @Da…""}","{'date': '11/13/2019, 13:15:11', 'full_text': 'RT @DalHealth: DONUTS! 🙌🍩 https://t.co/aVzsCs2h5k'}","{'date': '01/16/2020, 01:39:33', 'full_text': 'MBB: Alex Carson for 3! Keeping the streak alive! @AcadiaAthletics @AUS_SUA #GoTigers #FearTheRoar'}"
351,"{'date': '04/08/2019, 15:57:07', 'full_text': 'Happy last day of classes, @DalhousieU! Stop by the Killam Atrium for some free snacks and coffee, courtesy of @DalPres 🍪☕️ #DalhousieU https://t.co/VqsCLzK893'}","{'date': '10/03/2018, 16:30:26', 'full_text': ""Busy? The perfect job won't wait for you! 73% of all winter co-op job postings close within the next 10 days. Apply now! #MCSCareerFest https://t.co/yJwQ7VuCVY""}","{'date': '06/22/2018, 22:54:09', 'full_text': 'Congratulations to Mary Anne White (Professor Emerita) who recently presented the D K C MacDonald Memorial Lecture at the Canadian Materials Science Conference in Edmonton. https://t.co/UHoLSy0TVp'}","{'date': '10/08/2019, 17:46:59', 'full_text': 'RT @dalideahub: 📢 Calling all @DalhousieU Researchers investigating innovations with commercial potential:\n@innovacorp ESCF program is open…'}","{'date': '11/13/2019, 13:09:47', 'full_text': 'Spread the Kindness 🤝 https://t.co/hhnpMhaWVf'}","{'date': '01/16/2020, 01:32:39', 'full_text': ""MBB: If you're not at Dalplex right now cheering on your Tigers, you're missing some exciting basketball. It's been back and forth all game with @AcadiaAthletics. @AUS_SUA #GoTigers #FearTheRoar #NailBiter""}"
352,"{'date': '04/08/2019, 13:30:44', 'full_text': ""Have you heard of the Ask A Nurse service? You can get answers to your stress, drinking, sex, or health related questions within 72 hours. And it's all confidential, free and anonymous! Find out more here: https://t.co/5vhYosTLpi #DalhousieU https://t.co/t12f9tYaTU""}","{'date': '10/03/2018, 12:13:35', 'full_text': ""Read about BMgmt Internship student Haley Cooke in today's MCS E-news and then join us at 11:30 am for an Information Session to how the internship can benefit you and how to apply. https://t.co/G4yGTKcjKo https://t.co/RSZ6PQ3A35""}","{'date': '06/22/2018, 22:52:18', 'full_text': ""RT @RowleyGroup: Evan and @mohebifar 's paper on the representation of dispersion in protein force fields is ASAP @JPhysChem https://t.co/r…""}","{'date': '10/08/2019, 17:01:18', 'full_text': 'Get some Halifax autumn adventure inspiration with the @hfxnovascotia list of 5 things you can only do in Halifax in the Fall! https://t.co/3LlkZl31OE 🌊🎃🍂 #Halifax #Autumn https://t.co/E9we4eIs7s'}","{'date': '11/13/2019, 12:45:02', 'full_text': ""RT @DalHealth: @brendini5 @DalStudentUnion @DalhousieU It's easy to join the challenge - and it's open to the whole Dal community! Just twe…""}","{'date': '01/16/2020, 01:25:11', 'full_text': 'MBB: At the end of the 3rd your Tigers are tied once again with @AcadiaAthletics. Score is 53 all. @AUS_SUA #GoTigers #FearTheRoar'}"
353,"{'date': '04/08/2019, 11:51:00', 'full_text': ""Today is your LAST chance to take the NCHA survey! By taking 15-20 minutes to complete the survey, you could win one of ELEVEN $100 Visa gift cards. Check your #DalhousieU inbox to see if you've been chosen to participate. https://t.co/40lpebwCAw""}","{'date': '09/30/2018, 17:01:03', 'full_text': 'Calling all students! It’s never too early to start thinking about what happens after you flip the tassel. Join us October 25-26 to chat about the #RBCFutureLaunch and how you can build your career in Halifax: http://https://t.co/IJ1bI0xzeK https://t.co/OA3d2wbVDn'}","{'date': '06/21/2018, 17:07:00', 'full_text': 'Check out the recent paper from the Stradiotto group. https://t.co/8VcmcLuffi'}","{'date': '10/08/2019, 16:23:31', 'full_text': '#DalGrad 🎓 Amy Hak completed her Master of Information Management while working as a forensic officer with the International Criminal Court in The Hague, Netherlands @DalManagement https://t.co/KWJ2XF735V'}","{'date': '11/13/2019, 00:58:33', 'full_text': 'RT @DalCrossroads: We are very excited to announce our keynote speaker for #DalCrossroads2020, Dr. Ingrid Waldron! Dr. Waldron will be pres…'}","{'date': '01/16/2020, 01:14:38', 'full_text': ""RT @StFXAthletics: Men's Hockey: Chandler Yakimowicz scores back to back goals for @DalTigers late in the 3rd period. StFX leads 4-3""}"
354,"{'date': '04/07/2019, 21:15:09', 'full_text': 'Study tip of the day: Make a study plan! Having a plan will make it easier to space out studying, and will keep you on track! #DSL #DalStudyTips https://t.co/zAxpkfTRqN'}","{'date': '09/28/2018, 12:01:19', 'full_text': 'Hear from @RBC CEO @dave Mackay on how youth skill conversations must go beyond campuses #RBCFutureLaunch https://t.co/uNRFAyCLGx'}","{'date': '06/21/2018, 01:30:05', 'full_text': ""Congratulations to our profs, instructors, staff, and student on winning this year's Legacy awards. #DalLegacy #dal200 https://t.co/O4U6fuS74G""}","{'date': '10/08/2019, 14:36:48', 'full_text': ""RT @DalhousieU: Fall Convocation is here! 🎓 This morning, we're celebrating graduates from @DalDentistry, @DalEngineering, @DalHealth, @Dal…""}","{'date': '11/12/2019, 17:45:59', 'full_text': '2 weeks to go! Join us on November 26 👇🏻 https://t.co/ZkxAcpYIr0'}","{'date': '01/16/2020, 01:05:45', 'full_text': 'MBB: 2nd half is on! Your Tigers are tied at 31 with @AcadiaAthletics. @AUS_SUA #GoTigers #FearTheRoar'}"
355,"{'date': '04/07/2019, 19:25:04', 'full_text': ""Nervous about your upcoming MMI #interview? Don't miss out on this workshop to make sure you're prepared! Register on MyCareer ASAP https://t.co/MMqyZXV2b7 https://t.co/P60uJK0A3P""}","{'date': '09/27/2018, 20:30:08', 'full_text': 'Did you know that our BMgmt degree provides students with a chance to participate in either an 8, 12 or 16-month paid internship? Come out to the BMgmt Internship info session next Wednesday to learn about how an internship can benefit you! #MCSCareerFest https://t.co/VVOnBVkduU'}","{'date': '06/15/2018, 13:54:41', 'full_text': 'RT @dasoglab: Congratulations to our high school intern, Logesh Khanna and undergrad Yiqi Lai on getting their work accepted in Can J Chem…'}","{'date': '10/08/2019, 12:01:20', 'full_text': 'Carrie-Ellen Gabriel will defend their PhD thesis entitled “Losses of Carbon from Mineral-Associated Soil Organic Matter Pools in Podzolic Horizons following Soil Climate Changes Associated with Forest Clear-Cut Harvesting” on Oct 10 🎉 #DalDefender @DalScience @DalEarthSci https://t.co/aP5WrbPkhZ'}","{'date': '11/12/2019, 15:27:09', 'full_text': 'RT @DalStudentUnion: 💼 JOB OPPORTUNITY: Graphic Design Coordinator 💼  Application Deadline: Nov 21st at 4 pm 🎨 Enjoy developing and creatin…'}","{'date': '01/16/2020, 00:48:59', 'full_text': 'MBB: at the half the Tigers are tied with @AcadiaAthletics 31-31. #GoTigers #FearTheRoar @AUS_SUA'}"
356,"{'date': '04/06/2019, 17:15:14', 'full_text': ""Study Tip of the Day: Make a list and check it twice! Whether it's a list of what you need to study when, or a list of definitions and concepts, lists will help you stay on track! #DSL #DalStudyTips https://t.co/bVfh05hPkj""}","{'date': '09/27/2018, 17:30:43', 'full_text': 'RT @dalethics: Registration closes on Oct 26, 2018 for @ScotiabankViews Ethics in Action case competition! Register now to obtain up to a $…'}","{'date': '06/14/2018, 13:20:38', 'full_text': ""Congratulations to Kirsten Jones on receiving this year's President's Graduate Student Teaching Award. @Dalnews @DalScience @DalGradStudies""}","{'date': '10/07/2019, 17:29:22', 'full_text': 'RT @DalhousieU: #DalhousieU will soon be home to a powerful research instrument that will allow researchers to explore new territory in the…'}","{'date': '11/11/2019, 14:42:34', 'full_text': 'At #theeleventhhour ⏰ on #theeleventhday 📅 of #theeleventhmonth #WeRememberThem ♥️ #LestWeForget #GetYourPoppy 🇨🇦 https://t.co/WdsnfMXSSE'}","{'date': '01/16/2020, 00:47:48', 'full_text': 'RT @StFXAthletics: Men’s Hockey: StFX continues to lead @DalTigers 3-1 after a scoreless 2nd period.'}"
357,"{'date': '04/05/2019, 19:30:20', 'full_text': ""Got questions about faith or spirituality? Ask one of Dal's chaplains in Multifaith Services! You'll get confidential replies within 72 hours. https://t.co/cbHSabVtWE https://t.co/IrqYt785oZ""}","{'date': '09/27/2018, 11:30:19', 'full_text': ""Come and meet the @bankofcanada team next Thursday, October 4th at 1PM to learn more about their Research Assistant job opportunity and to gain insight into what it's like to work with Canada's central bank #MCSCareerFest https://t.co/eFXfNe8VIa""}","{'date': '06/14/2018, 13:19:36', 'full_text': ""Congratulations to Gaia Aish on receiving this year's Contract and Limited-term Faculty Award for Excellence in Teaching. @Dalnews @DalScience""}","{'date': '10/07/2019, 17:00:41', 'full_text': 'Learn to strategically create clear written communication in a professional setting at the @MitacsCanada workshop “Business Writing for Today’s Professional” on Oct 25. 💻🗣 Create an EDGE account &amp; register here: https://t.co/gqpO9MKUrs https://t.co/4rvWK1DFwH'}","{'date': '11/11/2019, 14:01:50', 'full_text': 'RT @DalHealth: We will remember them. #CanadaRemembers #RemembranceDay2019 #LestWeForget https://t.co/SoTKvolg3n'}","{'date': '01/16/2020, 00:31:01', 'full_text': 'MBB: At the end of the 1st quarter your Tigers have a 22-14 lead over @AcadiaAthletics. @AUS_SUA #GoTigers #FearTheRoar'}"
358,"{'date': '04/05/2019, 19:00:52', 'full_text': ""Don't forget to register your out of classroom activities on your co-curricular record! Access it through MyCareer! #DalhousieU https://t.co/9rJzNlJDl3""}","{'date': '09/26/2018, 12:15:40', 'full_text': ""Today we welcome folks from @TD_Canada and @IBMCanada to the Rowe. They're here to answer questions and provide insight into their career opportunities for @RoweBusiness students and grads. See myCareer for details. https://t.co/Cpg4BhVZHb""}","{'date': '06/14/2018, 12:28:38', 'full_text': ""Congratulations to our First Year Chemistry teaching team, Drs. Aleman-Milan, Andreas, Bates, Chisholm, Crane, Dasog, Kelly, MacDonald, Wall, and Whalen on winning this year's Educational Leadership Award for Collaborative Teaching. @Dalnews @DalScience @ConceptsChemDal""}","{'date': '10/07/2019, 14:37:10', 'full_text': ""Mosquitoes🦟 are considered one of the planet's deadliest creatures. @Dal_micro_immun PhD student @LandonGetz co-authored an article exploring the risks of using genetically-modified mosquitoes to combat disease. @DalVPR @DalScience @MCraigMcCormick Read: https://t.co/UlxGhGPyps""}","{'date': '11/10/2019, 17:11:22', 'full_text': 'RT @DalStudentLife: Staying put for Study Break is a great opportunity to get ahead in your work! Check out our post on 6 ways to be produc…'}","{'date': '01/16/2020, 00:14:14', 'full_text': ""MBB: Game time! It's a full house here at Dalplex as your Tigers take on @AcadiaAthletics in @AUS_SUA action tonight! #GoTigers #FearTheRoar https://t.co/hPDn0IPYbu""}"
359,"{'date': '04/05/2019, 18:01:49', 'full_text': 'Sunshine, beaches, and surf: the perfect way to spend January. Apply by April 15th for a winter exchange - visit https://t.co/rzZbVNxWSm to learn more! https://t.co/HftuW7Diue'}","{'date': '09/25/2018, 19:46:40', 'full_text': 'RT @BrienKConvery: Great to catch up over #Coffee in #Halifax with Students and Graduates from @MSVU_Halifax @Dalhousie_SITE @DalMCS @Dalne…'}","{'date': '06/13/2018, 21:20:52', 'full_text': ""Congratulations to Prof. Alex Speed on receiving this year's President’s Research Excellence Emerging Investigators Award. @DalScience @Dalnews""}","{'date': '10/07/2019, 14:09:36', 'full_text': ""RT @DalStudentLife: There's still room in tomorrow's Mental Health 101 training! The session is being held from 10am-12pm in the Killam lib…""}","{'date': '11/10/2019, 17:10:41', 'full_text': 'RT @OceanVCommunity: ""I could not, at any age, be content to take my place by the fireside and simply look on. Life was meant to be lived.…'}","{'date': '01/15/2020, 23:55:30', 'full_text': ""Tigers fans warm-up is on as your Men's Basketball Team gets set to take on @AcadiaAthletics in @AUS_SUA action tonight at Dalplex. Tips at 8pm so.come.cheer the team on. #GoTigers #FearTheRoar""}"
360,"{'date': '04/05/2019, 17:32:59', 'full_text': ""The deadline to take the NCHA survey has been extended to April 8 and there's even MORE chances to WIN! Check your #DalhousieU inbox TODAY! https://t.co/s2bXQ8Cklg""}","{'date': '09/25/2018, 11:01:02', 'full_text': 'The countdown is on: one month until @RBC @IBM @HfxPartnership Future of Work innovation challenge. Click here to register: http://https://t.co/IJ1bI0xzeK https://t.co/RiRDDX4WE0'}","{'date': '06/13/2018, 21:18:42', 'full_text': ""RT @ThompsonLabDal: Pictures from Michael's trip in #ireland ! He was awarded the Dobbin Atlantic Scholarship and is conducting #research f…""}","{'date': '10/07/2019, 12:00:55', 'full_text': 'In the thesis writing stage of your graduate work? 💻🤔 Join Dal Global Health for “Show Up and Write Thursdays”, a space for students to write with peers, discuss the challenges &amp; successes of writing about their research, &amp; to learn new writing tips ➡️ https://t.co/RoynAtLtVk https://t.co/6pvGabwMnR'}","{'date': '11/10/2019, 17:01:51', 'full_text': ""RT @DalhousieU: Have you participated yet? Between Nov. 4 and 18, staff and faculty members are encouraged to take part in #DalhousieU's ne…""}","{'date': '01/15/2020, 23:50:46', 'full_text': 'WBB: Final score 70-55 for @AcadiaAthletics. @AUS_SUA \n.\n.\n.\nChloe Wilson with 19pts for your Tigers.\n.\n.\n.\nChelsea Slawter-Wright went 4 for 4 on free throws for your Tigers.'}"
361,"{'date': '04/05/2019, 14:15:24', 'full_text': 'Study tip of the day: Use post-its everywhere! Sticky notes are a simple way to create concept maps that allow you to see and understand concepts more clearly! #DSL #DalStudyTips https://t.co/dJQIoXKrky'}","{'date': '09/24/2018, 23:00:30', 'full_text': ""Interested in a career in Supply Chain? Don't miss this great opportunity to meet the @DHLsupplychain team and learn more about one of the fastest growing industries. Be sure to attend the information session tomorrow #MCSCareerFest https://t.co/L3Baj2VLf6""}","{'date': '06/13/2018, 21:18:36', 'full_text': 'RT @ThompsonLabDal: Congrats to incoming #PhD student @BryCrabbe for being awarded an NSGS (#NovaScotia #Research and #Innovation #Scholars…'}","{'date': '10/04/2019, 17:01:11', 'full_text': 'Writing and defending a thesis is a challenging venture, representing the culmination of your graduate work at Dalhousie. Find information on formatting and submitting your thesis as well as preparing for your defence on our website ➡️ https://t.co/gZwWnPwA8L https://t.co/LLY5il5gkB'}","{'date': '11/09/2019, 00:20:37', 'full_text': ""RT @DalHealth: 🚨 UPCOMING CHALLENGE ALERT! 🚨 \nOver @DalhousieU's study break, #DalHealth is challenging YOU to make a healthy change to sup…""}","{'date': '01/15/2020, 23:39:55', 'full_text': 'RT @StFXAthletics: Men’s hockey: StFX leads @DalTigers 3-1 after the 1st period'}"
362,"{'date': '04/05/2019, 13:15:15', 'full_text': 'First-year #DalhousieU students! Today is the deadline to complete the 2019 CUSC Survey of First-Year Students, have your feedback about Dalhousie heard AND have the chance to win 1 of 10 $100 Visa gift cards just for telling us what you think 💵💵💵 https://t.co/02nW1iUC7l'}","{'date': '09/24/2018, 16:45:02', 'full_text': 'RT @Dalnews: ICYMI: tomorrow, #DalhousieU students and @Dal_Alumni will be able to take part in the annual #Halifax Universities Career Fai…'}","{'date': '06/10/2018, 01:07:09', 'full_text': 'Congratulations to Dalhousie chemistry students who won presentation awards at the recent ChemCon meeting. Great job by @SMUChemistry students organizing this conference. @dasoglab @awhspeed @MarkStradiotto @chrislavoie24 @CIC_ChemInst @scienceatlantic @DalScience https://t.co/V8NdwzjyxO'}","{'date': '10/04/2019, 12:01:53', 'full_text': 'What does professional communication mean? How does one effectively communicate in a global world? 🗣🌏 Develop your intercultural communication skills in the hands-on workshop Communication Across Cultures on Oct 8th from 1–3pm. RSVP here: https://t.co/W7PcWoSsEA https://t.co/ei8vE7VYLA'}","{'date': '11/09/2019, 00:20:30', 'full_text': 'RT @DalhousieU: Ahead of #RemembranceDay weekend, take a look back at what #DalhousieU was like during the two World Wars, from field hospi…'}","{'date': '01/15/2020, 23:23:59', 'full_text': 'WBB: After 3 your Tigers trail 48-42. @AcadiaAthletics @AUS_SUA #GoTigers #FearTheRoar'}"
363,"{'date': '04/05/2019, 11:35:11', 'full_text': 'Drop by the Black Student Advising Centre today from 10am-12pm for peer advising  on everything from resumes to interview prep! They can help you out with all your career related questions! #DalhousieU https://t.co/XxjUuIx5cZ https://t.co/oNTDsuwoB1'}","{'date': '09/24/2018, 16:43:46', 'full_text': 'RT @DalManagement: Registration is now live! https://t.co/rnpJeO3XRs'}","{'date': '06/07/2018, 15:02:26', 'full_text': 'Check out the recent work from Johnson and Becke groups published in The Journal of Chemical Physics @AIP_Publishing - https://t.co/zHAup9Oa36'}","{'date': '10/04/2019, 11:32:04', 'full_text': 'Students at any level of study conducting research related to health and wellness or the social determinants of health are invited to submit an abstract for the Crossroads Interdisciplinary Health Research Conference ⬇️ https://t.co/rv4e4COZue'}","{'date': '11/08/2019, 19:58:13', 'full_text': 'Calling all Dalhousie PhD students 📢 Are you an OpenThinker? Apply today for the @DalGradStudies OpenThink Initiative which equips students to discover &amp; tell their research story to the world 🗣🌎 Includes a $1,500 scholarship ➡  https://t.co/C60ksjeZ8I https://t.co/jPuZN8SfFR'}","{'date': '01/15/2020, 23:09:56', 'full_text': 'WBB: Chelsea Slawter-Wright for 3! @AcadiaAthletics @AUS_SUA #GoTigers #FearTheRoar'}"
