,DalhousieU,DalStudentUnion,DalSecurity,DalResidence
150,"{'date': '12/17/2019, 17:07:40', 'full_text': 'Cumming Hall at @dalagriculture is looking very festive this week! ❄️ https://t.co/NHqUC1NZ5i'}","{'date': '11/24/2019, 20:20:02', 'full_text': '🧘🏾 FREE YOGA from September 4th to December 5th 🧘🏾 Just bring your Dal card! \n\nNOTE: There will be no yoga during reading week from November 8-17. https://t.co/Tj2DCfvCZ4'}","{'date': '09/07/2019, 23:09:43', 'full_text': 'RT @HfxRegPolice: If you see barricades in place or caution tape, it is not for decor. Do not move them and do not try to circumvent them.…'}","{'date': '04/18/2019, 17:42:33', 'full_text': '@HarryLime39 We hope she had a fantastic year! :)'}"
151,"{'date': '12/17/2019, 14:56:02', 'full_text': '""I said, ‘If I’m going back to school, I’m not going to do anything practical. I’m going to do something I love.’"" #WeAreDal 52 weeks. 52 stories from the #DalhousieU community. This is Frederick\'s: https://t.co/nE2cnJnwFT\nWe Are Dal will return January 7th! ❄ https://t.co/QzoSPULug1'}","{'date': '11/23/2019, 20:20:02', 'full_text': '🧘🏾 FREE YOGA from September 4th to December 5th 🧘🏾 Just bring your Dal card! \n\nNOTE: There will be no yoga during reading week from November 8-17. https://t.co/jRdddPCqX6'}","{'date': '09/07/2019, 22:43:13', 'full_text': 'On @dalagriculture campus, corner of Vimy and Cox Rd, wires are down. Please use caution in the area. https://t.co/rwm9V3k1nQ'}","{'date': '04/18/2019, 17:42:16', 'full_text': 'RT @HarryLime39: @DalResidence Big thank you to all the staff at Risley for looking after my daughter during her first year at Dalhousie Un…'}"
152,"{'date': '12/17/2019, 12:10:22', 'full_text': ""We’ve put a holiday spin on research at #DalhousieU! Today, Dr. Bruce Rathgeber explains why antibiotic-free poultry is on his wish list. 🐓 Read more about Dr. Rathgeber's work: https://t.co/hA02bdwPbP (🏷 @DalVPR, @dalagriculture) #DALinnovates https://t.co/nRZt8cNZ7z""}","{'date': '11/23/2019, 15:50:00', 'full_text': '💼 INTERNATIONAL STUDENT WORK EXPERIENCE PROGRAM is an on-campus part-time employment program for international students 💼 \n\n- Job postings from Nov 18-29\n- Placements begin Jan 6, 2020\n\nhttps://t.co/1PrNSzK3g5'}","{'date': '09/07/2019, 22:16:31', 'full_text': 'A small tree is down along the edge of Cumming Dr on the @dalagriculture campus but the road is still passable. No other reported damage at this time.  Winds are steady and picking up. https://t.co/Bhb41mJlrb'}","{'date': '04/18/2019, 17:19:16', 'full_text': 'If you applied to return to residence, check your email! You should have received your room offer! :) #dalsweetdal\n\nIf you are new to residence in September, hang tight!! We do not start sending new offers for a few months. https://t.co/pTJOkRpLRd'}"
153,"{'date': '12/17/2019, 00:04:00', 'full_text': 'Download the DalSAFE app and stay informed about winter storm closures at #DalhousieU. 📱 https://t.co/VKMbCyDxxq'}","{'date': '11/22/2019, 23:22:01', 'full_text': '🎶 Come check out the T-Room for a special FRIDAY NOV 29th concert with local hip hop artists. 🎶 MAJE is back with special guest Eriana Willis. The cover for the show is $5 and starts at 10 pm! https://t.co/mSQDMVPTtT https://t.co/yh0dsS9FJN'}","{'date': '09/07/2019, 22:08:27', 'full_text': 'RT @NSWeatherGuy91: Note: Winds will die out over Halifax area over next hour or so as center of #Dorian comes ashore. Might even see a pat…'}","{'date': '04/17/2019, 15:40:08', 'full_text': 'We hope your year in residence was filled with great memories! Be sure to share them with us using #dalsweetdal https://t.co/QjUrhq2eTQ'}"
154,"{'date': '12/16/2019, 18:33:00', 'full_text': ""Canada’s new Elections Act may have prevented the type of mammoth election spending seen in the United States via super-PACs, but it's been at the expense of public debate, writes IDS prof John Cameron. https://t.co/xmmMafNgCh""}","{'date': '11/22/2019, 22:58:01', 'full_text': ""🖋️ Dalhousie and King's Creative Writing Journal, Fathom, is accepting submissions for poetry, fiction and non-fiction for the 2019/2020 year 🖋️ Please send your submissions to fathom.dal@gmail.com by December 22nd.  https://t.co/3raOh4yn5A https://t.co/rTzZtm4qkv""}","{'date': '09/07/2019, 22:06:55', 'full_text': 'Thankful for Dal students who assist with our campus property checks.  When in doubt... crowd source the damage with virtual updates!! 😂 https://t.co/3C97I74q7E'}","{'date': '04/15/2019, 14:37:24', 'full_text': ""We can't believe how quickly this year has gone by! As you are moving out of residence, remember to follow these steps. Enjoy your summer 🏖️\n\n#dalsweetdal https://t.co/Asy4DAMsfN""}"
155,"{'date': '12/16/2019, 15:54:02', 'full_text': 'Nobody wants to come back in January to rotten food in the fridge! @DalStudentLife has some tips for closing up your living space for the holidays. 🍏\nhttps://t.co/Tk8wj6uVxX'}","{'date': '11/22/2019, 20:47:20', 'full_text': ""Yesterday DSU Council voted to release a statement in solidarity with 2SLGBTQ+ students against Dalhousie's decision to provide space for the Advance Summit keynote speakers! \n\nRead the full statement here: https://t.co/YQJRV72E4m""}","{'date': '09/07/2019, 22:01:11', 'full_text': '@9_naqvi What’s it looking like from your window now?  We have reports that several more trees are down along South St near Risley Hall.  Care to share a pic from your vantage point? 😎'}","{'date': '04/10/2019, 19:10:06', 'full_text': ""Experiencing warm weekends switching into a snowy week means you're a true Nova Scotian now, congratulations! ☀️❄\n\n#dalsweetdal https://t.co/wVE58ykHPd""}"
156,"{'date': '12/16/2019, 13:34:54', 'full_text': 'We’ve put a holiday spin on research at #DalhousieU! Today, @tonyrwalker1 shares the ugly truth about ugly holiday sweaters. ⛄️ Read more about Dr. Walker’s work: https://t.co/aJIxyERMsP (🏷 @DalVPR, @DalManagement) #DALinnovates https://t.co/w39oaI8qeD'}","{'date': '11/22/2019, 16:49:06', 'full_text': '✨The DSU Annual General Meeting is occurring on Friday, Nov 29th in the SUB Atrium from 3 - 5pm and there will be food! Not sure what the AGM is all about? Check out our infographic below ✨Attend the event here: https://t.co/JcEhNShx91 https://t.co/SUz0xli780'}","{'date': '09/07/2019, 21:33:50', 'full_text': 'Don’t be fooled by these small breaks in intensity.  There’s still lots of storm left for our Halifax and Bible Hill campuses. https://t.co/TFamt4S1BO'}","{'date': '04/08/2019, 15:07:58', 'full_text': 'RT @DalhousieU: First-year #DalBound students have a guaranteed spot in @DalResidence – all you have to do is apply by June 30. ✨ https://t…'}"
157,"{'date': '12/16/2019, 12:46:55', 'full_text': '@DanaLyn_Dal Good luck!'}","{'date': '11/21/2019, 17:47:24', 'full_text': '@B_Habs27 The AGM is livestreamed.'}","{'date': '09/07/2019, 21:31:32', 'full_text': 'RT @DonnieSpicer: Thinking of, and thankful for, the first responder and emergency services folks who don’t get to stay home and ride out t…'}","{'date': '04/08/2019, 13:45:16', 'full_text': 'Wishing our residence students the best as they prepare for exams! #dalsweetdal https://t.co/sW4zgQQdtN'}"
158,"{'date': '12/15/2019, 23:29:03', 'full_text': ""With our exam period finally over (you did it!), we wish all of our students a safe and happy holiday break. We'll miss you! https://t.co/559yH8uQdQ""}","{'date': '11/21/2019, 17:12:28', 'full_text': 'RT @DALBSSC: Are you a Dal international student looking to get professional development through paid work on campus? Look no further! @Dal…'}","{'date': '09/07/2019, 21:30:33', 'full_text': 'RT @HfxRegPolice: Reminder that if you come across a failed traffic light, treat it like a four-way stop. The car that arrives first goes f…'}","{'date': '03/30/2019, 19:31:04', 'full_text': ""Looks like the Ram's Head Escape Room at the AC is pretty tricky! Are you and your friends trying it?\n\n#DalSweetDal https://t.co/hfEw2recXC""}"
159,"{'date': '12/15/2019, 19:15:12', 'full_text': 'Priscilla Lee, a third-year music student at @FSPADal is just one of the many talented students who will perform in the future Joseph Strug Concert Hall. Watch her video and learn how you can help #FilltheHouse this holiday season: https://t.co/q83Dtb3cKq https://t.co/ObhWEWICeb'}","{'date': '11/21/2019, 16:49:04', 'full_text': '✨The DSU Annual General Meeting is occurring on Friday, Nov 29th in the SUB Atrium from 3 - 5pm and there will be food! Not sure what the AGM is all about? Check out our infographic below ✨Attend the event here: https://t.co/JcEhNShx91 https://t.co/MtkFUnoci7'}","{'date': '09/07/2019, 20:39:08', 'full_text': 'RT @moxeymunchies: Charge dem old phones. #NSStorm #HurricaneDorain #Halifax https://t.co/iqp2W6SZQU'}","{'date': '03/29/2019, 15:31:20', 'full_text': 'RT @DalhousieU: First-year #DalBound students have a guaranteed spot in @DalResidence – all you have to do is apply by June 30. ✨ https://t…'}"
160,"{'date': '12/15/2019, 15:03:02', 'full_text': ""Warm up those vocal chords and join us for #DalhousieU's Annual Carol Sing! 🎼 We'll be belting out classic Christmas carols, Hanukkah songs, and other holiday favourites. ❄️ https://t.co/qCFzWTD3Aq""}","{'date': '11/21/2019, 16:18:36', 'full_text': 'RT @BloodDalhousie: Were you unable to make it out to our last blood drive? No worries! We have a second blood drive coming November 26th!…'}","{'date': '09/07/2019, 20:28:59', 'full_text': '@DalhousieDad @ShirreffHall @DalResidence @DalhousieU @DalPres Perfect! Triage is the name of the game today.  Thanks for the quick update.'}","{'date': '03/25/2019, 15:48:44', 'full_text': 'Are you returning to @DalResidence or living off-campus next year? Looking for a unique job opportunity during the 2019/2020 academic year? Applications are to be submitted at https://t.co/Pxk5tKiqj1 by March 31st at 11:59pm #DalSweetDal #DalResidenceLife #DalhousieU https://t.co/Q3Zeebc3yt'}"
161,"{'date': '12/14/2019, 21:47:01', 'full_text': ""The holidays are supposed to be a time of joy, but for many, they can be tough - financially, mentally, and emotionally. If you're struggling this season, @211NS can help you find resources to help. They're confidential, free and available 24/7: https://t.co/Z5Bk1cYRn0""}","{'date': '11/21/2019, 12:47:01', 'full_text': '🎤 T-Room Comedy TONIGHT! 🎤 This comedy event is headlined by Kyle Barnet &amp; hosted by Sam Bartol! https://t.co/lt9dQGfWUM\n\nWHEN &amp; WHERE: Nov 21st, 8:30-10:00pm at the T-Room\n\nHOW MUCH: $3 Cover \n\nCome and enjoy a great show! https://t.co/A2kd8UF5b3'}","{'date': '09/07/2019, 20:25:51', 'full_text': '@DalhousieDad @ShirreffHall @DalResidence @DalhousieU @DalPres Thanks for this!  Are you able to have your student call the Shirreff Hall front desk at 902-494-2428? Those folks will liaise with us. We have people on campus that will be able to assess the situation and see what can be done.'}","{'date': '03/19/2019, 14:42:26', 'full_text': 'Great to see visiting  @UMassAmherst food services director @KenToong reconnect in our dining hall with @DalPres https://t.co/QbPgfFEpOT'}"
162,"{'date': '12/14/2019, 18:55:01', 'full_text': 'Heading somewhere for the holidays? @DalStudentLife has tips for making your journey as comfortable as you can make it. ✈️ https://t.co/FSsdgEYVDP'}","{'date': '11/21/2019, 11:16:01', 'full_text': '💼 JOB OPPORTUNITY: Graphic Design Coordinator 💼  Application Deadline: TODAY! (Nov 21st at 4 pm) 🎨 Enjoy developing and creating outreach, print, campaign, and media materials? Apply today!  https://t.co/XQaAIkbnTI https://t.co/xA1UIgTVYw'}","{'date': '09/07/2019, 20:07:30', 'full_text': 'Storm Update #3 https://t.co/4bLgKxk9xI'}","{'date': '03/11/2019, 17:08:23', 'full_text': 'A previous summer staff, Jordan, spent his time with Ancillary Services challenging himself as a Marketing and Communications assistant. If you are looking for a job that can give you skills that will be assets in your future, apply on MyCareer today! #dalsweetdal https://t.co/oxImE7rRrr'}"
163,"{'date': '12/14/2019, 14:37:01', 'full_text': '#DalhousieU is proud to present a special discussion with Michael Wernick, 23rd Clerk of the Privy Council and Secretary to the Cabinet, in conversation with Don Connolly on January 8, 2020. Details: https://t.co/r3AEnEiZRB https://t.co/i6d6GpxR1I'}","{'date': '11/21/2019, 01:10:01', 'full_text': '🎸 Movember Benefit Concert 2019 👨🏻 Driftwood People and the DSU want you to join us at the Grawood for our 2nd Annual Movember Concert! https://t.co/99vmpNyOJA https://t.co/Y1ytEBDVsl'}","{'date': '09/07/2019, 20:07:30', 'full_text': 'Storm Update #3 https://t.co/9rMmT36miM'}","{'date': '03/10/2019, 16:33:07', 'full_text': 'RT @DalTigers: See Amanda at @ScotiabankCtr box office concourse to pick up ur FREE @DalhousieU student tix + noisemakers for the big @USPO…'}"
164,"{'date': '12/14/2019, 00:43:00', 'full_text': 'With the holidays fast approaching, @DalStudentLife asked #DalhousieU students about their cherished holiday traditions. https://t.co/eGlkpafoWr'}","{'date': '11/20/2019, 21:43:01', 'full_text': '🎤 T-Room Comedy Thursday 🎤 This comedy event is headlined by Kyle Barnet &amp; hosted by Sam Bartol! https://t.co/lt9dQGfWUM\n\nWHEN &amp; WHERE: Nov 21st, 8:30-10:00pm at the T-Room\n\nHOW MUCH: $3 Cover \n\nCome and enjoy a great show! https://t.co/UMv5BRHdve'}","{'date': '09/07/2019, 19:35:46', 'full_text': 'Seriously, it’s only getting worse.  Stay off of the roads and stay inside.  Unless it’s an emergency call, we’ll be staying inside too. Gillian’s got her #stormchips ready for the night shift! https://t.co/zHsQFIMhc7'}","{'date': '03/10/2019, 15:55:59', 'full_text': 'RT @DalTigers: @DalhousieU - WE NEED YOU! We have 500 tix + hundreds of tambourines &amp; cowbells to give to the loudest students for @USPORTS…'}"
165,"{'date': '12/13/2019, 15:39:01', 'full_text': ""@DrCChambers @DalVPR We're so glad you're enjoying it!""}","{'date': '11/20/2019, 16:22:01', 'full_text': '🎶 Come check out the T-Room for a special FRIDAY NOV 29th concert with local hip hop artists. 🎶 MAJE is back with special guest Eriana Willis. The cover for the show is $5 and starts at 10 pm! https://t.co/mSQDMVPTtT https://t.co/hPSbF2O3Mt'}","{'date': '09/07/2019, 19:21:14', 'full_text': 'Campus is closed for your safety. Trees and branches are falling and power lines are down. Go back inside where it’s safe!! https://t.co/9tiUYaVoN3'}","{'date': '03/09/2019, 21:15:14', 'full_text': 'RT @DalTigers: Hey @DalhousieU students! Let’s do round 2 tonight! Come to the Dome to pick up your FREE ticket!!  @DalStudentLife @DalStud…'}"
166,"{'date': '12/13/2019, 15:12:00', 'full_text': ""Sarah Dobson and Grace Evans are helping capture the experiences of Nova Scotia's female MLAs in a new book targeted for release in early 2020. 📚https://t.co/DatP6XkWu2""}","{'date': '11/20/2019, 15:30:14', 'full_text': 'RT @GrawoodTrivia: Hope your reading week was restful, come on down to the @Grawood tonight for trivia! Tonight I guarantee three rounds of…'}","{'date': '09/07/2019, 19:11:45', 'full_text': 'RT @nspowerinc: Thanks to everyone who has reported outages, damage and downed lines. Please keep tagging us and reporting at https://t.co/…'}","{'date': '03/09/2019, 14:47:24', 'full_text': 'RT @DalTigers: Hey students! You have 6 hours left in your recovery from last night before we give away 1000 tickets for tonight’s game!…'}"
167,"{'date': '12/13/2019, 12:58:12', 'full_text': 'We’ve put a holiday spin on research at #DalhousieU! Today, Dr. Mary Anne White explains the anatomy of a snowflake. ❄️ Read more about Dr. White’s work: https://t.co/aY8MzLaHrm (🏷 @DalVPR, @DalhousieChem) #DALinnovates https://t.co/w48hvJvYhQ'}","{'date': '11/20/2019, 15:28:05', 'full_text': '💼 JOB OPPORTUNITY: Information Centre Representative 💼  Application Deadline: Nov 21st at 4 pm ℹ️ Looking for a job on Studley campus? Look no further - apply today! https://t.co/XQaAIkbnTI https://t.co/HOqGuEBJL2'}","{'date': '09/07/2019, 19:10:33', 'full_text': 'RT @HHBridges: #MacKayBridge - Dartmouth to Halifax (Activity): Closures, poor visibility, reduce speed, Dartmouth bound light volumes, Hal…'}","{'date': '03/08/2019, 23:40:29', 'full_text': ""RT @DalTigers: Hey @DalhousieU students! Don't forget that you can catch the DAL bus from outside the Mona Campbell building down to Scotia…""}"
168,"{'date': '12/12/2019, 23:39:02', 'full_text': 'Are you an international student? 🌍 @DalIntcentre wants to hear about your experience. Complete the International Student Barometer survey today and be entered to win prizes! Check your #DalhousieU email for a direct link. Details: https://t.co/LaizMALNM7 https://t.co/xRbFtg91BS'}","{'date': '11/20/2019, 15:26:01', 'full_text': 'The Dal African Nova Scotian Student Association (ANSSA) invite you to their first Society Link Up - meet the exec, connect, play games, and grab a bite on Thurs, Nov 21 at 7pm in the LeMarchant Place Atrium. https://t.co/y2iL8PKYMS'}","{'date': '09/07/2019, 19:02:51', 'full_text': 'Thanks @9_naqvi - several large trees are down around campus -some power lines too- which is why we’re really hoping folks do what you are doing and staying inside their residence! https://t.co/ixE0JtZfZA'}","{'date': '03/06/2019, 21:11:28', 'full_text': 'Contest time!!! https://t.co/ifyvJgaKWF'}"
169,"{'date': '12/12/2019, 18:40:02', 'full_text': 'The Big Picture: The Looming Threat of Rising Sea Levels - And What We Can Do About It. 🌊 \n\nThe Big Picture is a new long-form series for Dal News, which will provide an in-depth look at specific areas of research with global implications: https://t.co/fbUx4E9lbl #DALinnovates https://t.co/cuRNoeyzOc'}","{'date': '11/20/2019, 14:05:59', 'full_text': 'RT @DalArchPlan: Launch today!\n\nFirst-Person Narratives for an Accessible Built Environment starts today with the first lunchtime lecture b…'}","{'date': '09/07/2019, 18:45:48', 'full_text': '@Craig_Arthur @DalEngineering https://t.co/kkAWpBHpQ9'}","{'date': '03/06/2019, 19:36:48', 'full_text': ""RT @DalPres: Today marks the first day of International Women's Week @DalhousieU. Celebrate the many achievements and contributions of wome…""}"
170,"{'date': '12/12/2019, 16:08:25', 'full_text': 'Congratulations to Dr. Alice Aiken, Vice-President Research &amp; Innovation at #DalhousieU, on her appointment as Chair of the 2020 Canadian Knowledge Mobilization Forum. ✨ (🏷 @DalVPR) #DalProud https://t.co/5ukC2OVefY'}","{'date': '11/20/2019, 14:03:02', 'full_text': 'RT @dalplex: Only 2 more days until the Dalplex Christmas Craft Market! \nDid you know that 2 @DalhousieU or Kings students can get in for t…'}","{'date': '09/07/2019, 18:43:13', 'full_text': '@bojangaziz Will do!!'}","{'date': '03/06/2019, 16:15:36', 'full_text': 'Are you looking for a summer job? We are looking to hire a summer student! Details are available on myCareer. https://t.co/ujk4gbmG5m'}"
171,"{'date': '12/12/2019, 15:05:46', 'full_text': 'We’ve put a holiday spin on research at #DalhousieU! Today, Dr. Shannon Brownlee shares some ideas for holiday movie watching. 🍿 Read more about Dr. Brownlee’s work: https://t.co/XZQiqYBoqL (🏷 @DalVPR, @FSPADal) #DALinnovates https://t.co/rsYLRc3vya'}","{'date': '11/20/2019, 13:24:03', 'full_text': ""🐶 Every Thursday, join Oscar and Dal counsellor Marriam Abou-El-Haj for Puppy Power Hour in the SUB 🐶 Puppy Power Hour is held every Thursday from 3-4 pm. ❤️ All Dalhousie and King's students, staff and faculty are welcome https://t.co/UZBIMUroF6 https://t.co/ShaQfIyRN0""}","{'date': '09/07/2019, 18:40:13', 'full_text': 'Large tree down along Coburg Rd, near the entrance to Lord Dalhousie Dr.  Roadway remains passable but the designated smoking area is toast! #DorionSmokingCessation https://t.co/cSxyiCrBPn'}","{'date': '03/04/2019, 16:24:00', 'full_text': 'Be sure to get your application in today to have your choice of room for next year!! #DalSweetDal https://t.co/FmRSddIAK6'}"
172,"{'date': '12/12/2019, 12:35:02', 'full_text': ""As exams start to wind down, let's #TBT to the study space in the reading room of the old Macdonald Memorial Library, 1916. https://t.co/lHwhK4Dkxd""}","{'date': '11/20/2019, 12:48:23', 'full_text': 'RT @CKDU881FM: DID YOU KNOW: That @DalGazette has their own #podcast taped right here at the station? You can find episodes at https://t.co…'}","{'date': '09/07/2019, 18:30:42', 'full_text': 'Large tree down on the corner of LeMarchant and University.  Wires are down - please use caution.  Unable to barricade the area due to conditions. https://t.co/7Djm5rKn8f'}","{'date': '03/03/2019, 15:02:31', 'full_text': 'RT @DalTigers: Dal students! We want you there to cheer the Tigers on to victory! Come to @AuctionHouseHFX today at 3pm for a FREE ticket t…'}"
173,"{'date': '12/11/2019, 23:08:01', 'full_text': ""Grab your friends and family, and join us for #DalhousieU's Annual Carol Sing! 🎼 We'll be belting out classic Christmas carols, Hanukkah songs, and other holiday favourites. ❄️ https://t.co/X6jP95UxCw""}","{'date': '11/20/2019, 12:24:01', 'full_text': '🍎 Order your DSU Market Food Box by Thursday at 10am! 🍏 https://t.co/MBXXuo6PLK https://t.co/9D5pHCPPVj'}","{'date': '09/07/2019, 18:13:31', 'full_text': 'RT @WayeMason: Hi all, please call 311 to report fallen trees and branches blocking streets.  Do not call 911.  Do not expect to see much c…'}","{'date': '02/15/2019, 21:26:04', 'full_text': 'Hope you all enjoy your week off!! Be sure to spend some time relaxing and studying during reading week 📚 https://t.co/xoLtVNf0Ep'}"
174,"{'date': '12/11/2019, 18:00:10', 'full_text': 'One year after the first CRISPR babies were announced, changes in policies and regulations have meant that there have been no new CRISPR announcements since, writes bioethicist @FrancoiseBaylis. ✨ #DALinnovates https://t.co/s8QazClH0Q'}","{'date': '11/19/2019, 22:14:02', 'full_text': '💼 JOB OPPORTUNITY: Graphic Design Coordinator 💼  Application Deadline: Nov 21st at 4 pm 🎨 Enjoy developing and creating outreach, print, campaign, and media materials? Apply today!  https://t.co/XQaAIkbnTI https://t.co/2MJoI86pY7'}","{'date': '09/07/2019, 18:01:41', 'full_text': 'Current situation on Sexton Campus. @ Sexton Campus (Dalhousie University) https://t.co/zBu4S9FEFR'}","{'date': '02/08/2019, 19:32:29', 'full_text': 'Looking for a place to live next year? LeMarchant Place offers single bedrooms with shared bathrooms as well as 2-, 3- and 4- bedroom suites! Plus, you get the convenience of meal hall and a kitchen! \n\n#DalSweetDal https://t.co/wxCWCqit9c'}"
175,"{'date': '12/11/2019, 14:24:00', 'full_text': ""Congratulations to #DalhousieU's @JuliaMWrightDal on her appointment to the Royal Society of Canada (RSC) Board of Directors. 🎉 #DalProud (🏷 @DalVPR, @RSCTheAcademies) https://t.co/4BtyyX2UGJ""}","{'date': '11/19/2019, 19:17:38', 'full_text': ""RT @DalPoli: 11 more days to get your entries in! Don't wait too long, as the prize is one of the biggest of the year https://t.co/xeGWQkMX…""}","{'date': '09/07/2019, 18:00:58', 'full_text': 'IMPORTANT UPDATE: Safety and security during Hurricane Dorian https://t.co/IT9x83jXO9'}","{'date': '02/07/2019, 17:11:23', 'full_text': 'Know a member of your residence community who has really IMPACTed your time at Dal? Nominate them for an impact award by tomorrow! \n\n#dalsweetdal https://t.co/3KIQrqyekd'}"
176,"{'date': '12/11/2019, 12:08:01', 'full_text': 'A familiar sight for night owls at the Killam Library. 💡 (📷 vjmousseau on Instagram) https://t.co/3YX9iESyo2'}","{'date': '11/19/2019, 14:39:01', 'full_text': '💼 JOB OPPORTUNITY: Sexton Campus Coordinator 💼 Application Deadline: November 21st at 4pm. Passionate about bettering student life on Sexton Campus? Then this job is for you! https://t.co/XQaAIkbnTI https://t.co/LPzWslc9LC'}","{'date': '09/07/2019, 17:53:16', 'full_text': 'CAMPUS ALERT - Power outage reported - All Halifax Campuses - Power Outage https://t.co/9TQBUtTtCV'}","{'date': '02/05/2019, 21:04:27', 'full_text': 'RT @DalOfficeSust: @DalResidence students, help your residence hall win Ecolympics by reducing your energy, water and waste use and attendi…'}"
177,"{'date': '12/10/2019, 23:58:01', 'full_text': ""Earlier this fall, Mi’kmaw university students from across the region gathered to learn from current students, alumni and faculty what it’s like to be a part of @SchulichLaw's Indigenous Blacks and Mi’kmaq (IB&amp;M) Initiative: https://t.co/QDVO5oWnoP https://t.co/Lftw0Ogw6u""}","{'date': '11/19/2019, 12:39:01', 'full_text': '☕ Sexton Tea Hour TODAY ☕ Come have a free hot beverage and chat with your Dal campus peer supporters in the Alumni Lounge on Tuesday, Nov. 19th from 10 am to 12 pm https://t.co/1AKYQFWD3n https://t.co/EQjkz9SG2V'}","{'date': '09/07/2019, 17:46:32', 'full_text': 'Not all heroes wear capes ... but with current wind conditions, David certainly looks like he’s wearing one as he renders assistance with a battery boost on Sexton Campus. 🔋 https://t.co/1FlyFHSBjQ'}","{'date': '01/30/2019, 18:14:57', 'full_text': 'Resources can be found here:\nhttps://t.co/qvLOXu7UFv\n\n#BellLetsTalk'}"
178,"{'date': '12/10/2019, 18:19:01', 'full_text': 'The #DalhousieU Art Gallery’s annual showcase of staff, faculty and alumni work has taken a more artistically diverse tone this year, with an unprecedented amount of media, audio and performance work added to the more traditional visual creations. 🖼 https://t.co/fXu5Ja3z8S'}","{'date': '11/19/2019, 12:00:12', 'full_text': '☕ Every Wednesday morning bring your reusable mug and get a FREE, fairtrade, and locally roasted coffee from EPSS in the SUB! ☕ https://t.co/sk3P6ORyyn https://t.co/snyfKbJJWZ'}","{'date': '09/07/2019, 17:17:34', 'full_text': 'Sexton campus is currently without power.  Other campuses not impacted by outage yet.'}","{'date': '01/30/2019, 18:14:57', 'full_text': ""Mental health and mental illness can be complicated. If you are struggling, regardless of the cause, remember to utilize Dalhousie's services. Residence assistants, health professionals and the DCMRT are just some of the resources available for you. #BellLetsTalk https://t.co/IazI3vMrJn""}"
179,"{'date': '12/10/2019, 16:01:10', 'full_text': 'As we enter the holiday season, best wishes from all of us at #DalhousieU for joyful moments and warm memories now and throughout the new year: https://t.co/0sxW9wKRCn https://t.co/MsqeO1IDRa'}","{'date': '11/18/2019, 22:40:30', 'full_text': ""🗳One spot left!🗳 Interested in student governance? There's currently one open seat on the DSU Elections Committee. Check out https://t.co/rQgpt3l6Zd for more information!""}","{'date': '09/07/2019, 16:01:25', 'full_text': ""RT @dalplex: Reminder: Due to today's weather, Dalplex and Sexton Gym will be CLOSED all day. \nThe operating hours for Sunday will be deter…""}","{'date': '01/22/2019, 21:35:16', 'full_text': 'Have you reapplied already? Go to your front desk or the residence office in Truro to get your new winter wear🧣\n\n#DalSweetDal https://t.co/H0PWuJlzgR'}"
180,"{'date': '12/10/2019, 14:16:38', 'full_text': '""They all ask, \'Do you go home and do math for fun?\' No. I don’t."" #WeAreDal 52 weeks. 52 stories from the #DalhousieU community. This is Sara\'s: https://t.co/M6GCDScFjj https://t.co/HYxvJZqjmz'}","{'date': '11/18/2019, 19:40:24', 'full_text': ""RT @DSUSO: Join us next week Monday, as we discuss how Nova Scotia can use it's Sustainable Development Goals Act!\n\nLight refreshments will…""}","{'date': '09/07/2019, 15:42:42', 'full_text': 'RT @MikeSavageHFX: Important update on Hurricane #Dorian for all HRM residents: https://t.co/TeXaMZBRao @hfxgov'}","{'date': '01/21/2019, 16:30:28', 'full_text': 'One of our favourite parts of residence is the community!! Fraser House has lots of spirit, how does your residence compare? 😈😈😈\n#dalsweetdal https://t.co/zWOgWNB4v4'}"
181,"{'date': '12/10/2019, 11:06:31', 'full_text': '@NutkinNB All academic buildings on the Halifax campus currently have power and campus is open.'}","{'date': '11/18/2019, 16:49:08', 'full_text': '✨The DSU Annual General Meeting is occurring on Friday, Nov 29th in the SUB Atrium from 3 - 5pm and there will be food! Not sure what the AGM is all about? Check out our infographic below ✨Attend the event here: https://t.co/JcEhNShx91 https://t.co/RWplBcZuW9'}","{'date': '09/07/2019, 15:24:09', 'full_text': 'RT @hfxgov: The municipality is urging downtown businesses to close today by 5 p.m., to allow all employees time to get home safely. See mo…'}","{'date': '01/15/2019, 22:50:22', 'full_text': 'Rams!! You could be a part of our amazing RA team. Apply by tomorrow to be considered \n\n#dalsweetdal https://t.co/jmKcyzKK1X'}"
182,"{'date': '12/10/2019, 11:06:21', 'full_text': '@saraevely @DalSecurity All academic buildings on the Halifax campus currently have power and campus is open.'}","{'date': '11/18/2019, 14:39:01', 'full_text': '💼 JOB OPPORTUNITY: Sexton Campus Coordinator 💼 Application Deadline: November 21st at 4pm. Passionate about bettering student life on Sexton Campus? Then this job is for you! https://t.co/XQaAIkbnTI https://t.co/LiMuIPntRk'}","{'date': '09/07/2019, 14:32:57', 'full_text': '@BigDogTruro @dalagriculture No worries... the change was made around 430pm yesterday... feel free to download our DalSAFE app for updates... little more nimble than e-mail! 😉'}","{'date': '01/15/2019, 17:14:34', 'full_text': 'Wishing campus would turn into a winter wonderland again ❄\n\n#DalSweetDal https://t.co/bpcqXSOVuG'}"
