,DalManagement,EventsAtDal,DalPres
108,"{'date': '09/17/2019, 13:34:51', 'full_text': 'RT @DalMIPP: Looking forward to a great panel discussion today on food policy.\n\nSee you at noon in Rowe 1020 or on our live-stream.\n\nThe li…'}","{'date': '01/30/2017, 19:19:20', 'full_text': 'Are you a #DalhousieU student looking for a full-time summer job in #Halifax or #Truro? Look no further: https://t.co/qyImEYA9tt https://t.co/Krf2ZJuY8H'}","{'date': '11/02/2019, 23:57:05', 'full_text': '@DrIvanJoseph @DalMedSchool Both!'}"
109,"{'date': '09/17/2019, 13:33:51', 'full_text': 'RT @DalGradStudies: Congratulations to Master of Public Administration student @talentndlovue on her #GameChanger status! 🎉 @DalhousieSPA @…'}","{'date': '01/29/2017, 21:41:54', 'full_text': ""Our Sales Manager, Lyle Quinn, can't wait to spend the week in Ottawa with @csaeconnect colleagues! #MeetAtDal""}","{'date': '11/01/2019, 14:31:58', 'full_text': 'Proud to be helping host 3-day international conference focused on Cuban Revolution at 60 years. @DalhousieU has a long history of work with Cuba. https://t.co/egFH5JjsSk'}"
110,"{'date': '09/17/2019, 12:31:26', 'full_text': 'https://t.co/x3MKfenkh6'}","{'date': '01/29/2017, 15:06:06', 'full_text': 'Welcome to campus, @PodcampHalifax! We love having you with us. #PodCampHalifax https://t.co/JQojMi93tZ'}","{'date': '11/01/2019, 14:29:28', 'full_text': 'Looks like a fantastic initiative! https://t.co/BeBi2xy5Xq'}"
111,"{'date': '09/16/2019, 11:10:13', 'full_text': 'SRES prof @tonyrwalker1 will be speaking at the Oceans in the Anthropocene panel at the Halifax Central Library today at 7:00: https://t.co/GgjFYUpRnV'}","{'date': '01/27/2017, 01:06:48', 'full_text': ""We can't wait to connect with attendees and talk about everything #Halifax and #DalhousieU have to offer. #MeetAtDal https://t.co/kI0gf9RyrY""}","{'date': '10/31/2019, 18:33:24', 'full_text': 'The Budget Advisory Committee would like your input as we develop our annual operating budget. We would appreciate you taking the time to complete our short survey: https://t.co/7ZwC2wo1ex'}"
112,"{'date': '09/15/2019, 11:10:05', 'full_text': '""Before bans on single-use plastics can be implemented, the Canadian government needs to know which single-use plastics are harmful to the environment...who can help collect this data?"" --SRES prof @tonyrwalker1 on citizen science. https://t.co/T2joUEVIoh'}","{'date': '01/22/2017, 13:51:57', 'full_text': ""We're at @Brides2017 ready to chat about Shirreff Hall: https://t.co/Vv9ybhxSWz #DalWeddings https://t.co/D6nPkCSB1z""}","{'date': '10/31/2019, 12:03:18', 'full_text': ""RT @DalTigers: Good luck to our men's soccer teams today as they begin their road to AUS supremacy in Cape Breton. Men take on @SMUHuskies…""}"
113,"{'date': '09/10/2019, 15:10:51', 'full_text': ""RT @DalMIPP: We're live!\n\nDemocracy and Manipulation in the Internet Age\n\nhttps://t.co/DyYABOm27K https://t.co/Y3DFrgvOlB""}","{'date': '01/16/2017, 17:15:27', 'full_text': ""We can't wait to have @PodcampHalifax with us later this month: https://t.co/4wzv17oBxZ https://t.co/qriOXIBY7G""}","{'date': '10/30/2019, 22:18:15', 'full_text': 'RT @DeepSenseCA: Great insight from Anya Waite @OceanFrontier on how ocean data is helping with understanding climate change. We need to un…'}"
114,"{'date': '09/06/2019, 20:28:46', 'full_text': 'RT @DanPhillips_ca: Jenny Baechler speaks to 119 students from the four schools in the Faculty of Management about our major capstone class…'}","{'date': '01/05/2017, 12:48:54', 'full_text': ""The countdown is on to #Dal200 and we couldn't be more excited: https://t.co/JqydPr3CzQ https://t.co/VtgLDN1F2V""}","{'date': '10/30/2019, 21:36:23', 'full_text': 'RT @DalhousieU: Anya Waite, associate vice-president, ocean research at #DalhousieU, and scientific director for @OceanFrontier emphasized…'}"
115,"{'date': '08/29/2019, 15:10:30', 'full_text': 'A new program name reflects the diversity of career options that graduates from the @dalsimnews can pursue, while still keeping libraries at the core. https://t.co/kdqsSdZQDM'}","{'date': '12/31/2016, 16:01:19', 'full_text': 'Happiest of New Years to our clients, guests and colleagues. #HappyNewYear https://t.co/Yx72huPHsk'}","{'date': '10/30/2019, 12:14:09', 'full_text': 'RT @DalStudentLife: Last chance to donate gently used winter clothing to the Winter Clothing Drive put on by the Dalhousie International Ce…'}"
116,"{'date': '08/29/2019, 12:01:55', 'full_text': 'Students, you are invited to learn more about the Rhodes Scholarship, a prestigious graduate funding opportunity for Oxford University. More info: https://t.co/VivDpmJaWZ https://t.co/JcMJPGjdlF'}","{'date': '12/24/2016, 00:56:16', 'full_text': 'Wishing the happiest of holidays to our clients and friends! Please note that #DalhousieU is closed until Tuesday, Jan. 3, 2017. https://t.co/ESFnxl9FG5'}","{'date': '10/29/2019, 00:46:46', 'full_text': 'Well deserved! Congratulations @michael_smit! https://t.co/jEnwktaXp4'}"
117,"{'date': '08/28/2019, 22:02:28', 'full_text': 'RT @Dal_Alumni: Alex Boutilier (BA’09), national politics reporter @TorontoStar, joins expert discussion on what we can expect during #Elec…'}","{'date': '12/22/2016, 15:31:35', 'full_text': 'Our team has been having a great time spreading holiday cheer this week! So. Many. Cookies. 🍪🎅🌲 https://t.co/ApdlWRqXnJ'}","{'date': '10/28/2019, 22:57:10', 'full_text': 'RT @DalSecurity: CAMPUS ALERT - Halifax Campuses Closing at 8pm  https://t.co/gk56K1gDBN'}"
118,"{'date': '08/28/2019, 22:01:23', 'full_text': 'RT @paleolimnology: We had an unexpected helper come while we were collected sediment cores on #sableisland ! @DalManagement https://t.co/p…'}","{'date': '12/19/2016, 14:11:14', 'full_text': ""We're super pleased to have received our @RCMAfaithmeets membership plaque this morning. #MeetAtDal https://t.co/3AVExy0Kg6""}","{'date': '10/28/2019, 17:13:37', 'full_text': 'The Budget Advisory Committee is engaging w. the #DalhousieU community earlier &amp; more broadly this year as we seek to make recommendations for the 2020-21 operating budget. Learn more about the issues &amp; factors that influence the development of the budget: https://t.co/0bsLuIO7D5'}"
119,"{'date': '08/28/2019, 22:01:05', 'full_text': 'RT @DalMCS: @DALBSSC @DalManagement @DalhousieU @DalArchPlan @dal_site  @DalhousieILI help us spread the word about this exciting event! ht…'}","{'date': '12/17/2016, 22:46:13', 'full_text': 'All is calm and bright this evening at Shirreff Hall, where the last wedding of 2016 is happening! #DalWeddings https://t.co/GpPjR1VuPv'}","{'date': '10/28/2019, 14:58:25', 'full_text': 'RT @DalStudentLife: @DalIntcentre is collecting gently used winter clothing to give a warm welcome to new and returning international stude…'}"
120,"{'date': '08/28/2019, 22:00:35', 'full_text': 'RT @DalGradStudies: Graduate Student Orientation is tomorrow! You won’t want to miss it so don’t forget to RSVP here ➡️ https://t.co/dFUUzb…'}","{'date': '12/15/2016, 16:41:52', 'full_text': 'RT @DalArtsCentre: We have an update for #DalhousieU Arts Centre patrons on the University Avenue Bike Lane. To provide feedback: https://t…'}","{'date': '10/27/2019, 23:00:55', 'full_text': 'Well done and well deserved! Congratulations! https://t.co/bs4lGspom0'}"
121,"{'date': '08/28/2019, 22:00:27', 'full_text': 'RT @jacquie_gahagan: Looking for PhD students and/or post-docs interested in LGBTQ+ health promotion and resilience research. Contact jgaha…'}","{'date': '12/14/2016, 18:30:43', 'full_text': 'Our friends at the @DalBookstore have a new website! More Tiger gear available for purchase online: https://t.co/OYnClhNtt6'}","{'date': '10/23/2019, 13:54:07', 'full_text': 'RT @DAL_FASS: Next week, 40 internationally renowned Cuba scholars, policy-makers &amp; policy analysts will gather @DalhousieU  for a 3-day sy…'}"
122,"{'date': '08/07/2019, 21:11:07', 'full_text': ""Help McCollins Jones (BScR '15, BMgmt '15) collect school supplies for children in Sierra Leone: https://t.co/gkdLKq1sIj""}","{'date': '12/13/2016, 12:27:51', 'full_text': 'Safe travels across campus in #Halifax and #Truro today while snow clean-up efforts continue. https://t.co/nvq3oJl06z'}","{'date': '10/22/2019, 20:54:01', 'full_text': 'Great way to welcome students who might be experiencing their first Canadian winter! https://t.co/8i6Ix1rkxV'}"
123,"{'date': '08/07/2019, 21:08:56', 'full_text': 'RT @DalhousieU: .@DalManagement is decorated with the Order of Canada, has research on every continent and experiential learning is at the…'}","{'date': '12/03/2016, 22:04:04', 'full_text': 'RT @Dalnews: Next June, #DalhousieU is proud to host @STLHE_2017 with other #Halifax institutions.  Proposals are due Dec 12. https://t.co/…'}","{'date': '10/22/2019, 19:57:50', 'full_text': 'RT @DAL_FASS: Last week, Her Excellency, the Right Honourable Michaëlle Jean spoke to the community about how we can maintain hope in despa…'}"
124,"{'date': '07/30/2019, 21:45:38', 'full_text': 'RT @DalhousieU: .@energyXsolution Inc, which is a graduate of CDL Atlantic and co-founded by a #DalhousieU alumnus, helps homes and busines…'}","{'date': '12/02/2016, 18:02:02', 'full_text': 'Congratulations to #DalhousieU honourees at today’s @CRC_CRC announcement! #DalProud #DalResearch @DalScience @DAL_FASS @Dal_FHP'}","{'date': '10/21/2019, 13:59:26', 'full_text': 'RT @DalGradStudies: Interested in commercializing your research? This event is for you! @dalideahub @DalhousieILI @DalVPR @DalPres @Dalhous…'}"
125,"{'date': '07/30/2019, 21:45:25', 'full_text': 'RT @DalhousieU: #DalhousieU and the College of the North Atlantic-Qatar signed an agreement this spring that opens the doors for Qatari stu…'}","{'date': '12/02/2016, 00:10:23', 'full_text': 'ICYMI: We had a great time celebrating #GivingTuesday with @RMHAtlantic: https://t.co/QfWmUD2LKW https://t.co/QzEmiD6lUB'}","{'date': '10/21/2019, 02:06:09', 'full_text': '@SenatorWanda @barb_hinch Yes. A distinct and quite remarkable people! Congratulations indeed.'}"
126,"{'date': '07/30/2019, 21:03:14', 'full_text': 'We are excited to start welcoming students from Qatar!\nhttps://t.co/OdLpWWsPH7'}","{'date': '11/30/2016, 20:50:39', 'full_text': 'RT @RMHAtlantic: Thank you for your support! ❤️ https://t.co/WTCET18aDO'}","{'date': '10/19/2019, 19:16:03', 'full_text': 'RT @DocDellaire: Imaging research goes galactic. Dr. Alan Fine @DalhousieU just developed a new point-if-care blood analysis device that wi…'}"
127,"{'date': '07/25/2019, 16:25:08', 'full_text': 'RT @LaunchDal: Demo Day is ONE WEEK away! Register today for your spot at this exciting event - showcasing the LaunchPad 2019 cohort! #laun…'}","{'date': '11/29/2016, 19:17:50', 'full_text': 'Our team had an amazing time supporting @RMHAtlantic for #GivingTuesday: https://t.co/QfWmUD2LKW https://t.co/1VDP5anNXF'}","{'date': '10/19/2019, 11:19:19', 'full_text': 'Proud of him! Grit and perseverance, and now an @DalhousieU graduate. Can’t wait to see what Baron Longley does next! https://t.co/V9zKew1ihW'}"
128,"{'date': '07/19/2019, 16:51:38', 'full_text': 'Dalhousie Management students! Join our Instagram family to be the first to know exciting events and opportunities that will expand your learning, enhance your student experience, and prepare you to launch your career! \n \nhttps://t.co/2lBXQrzz5T https://t.co/5lpEkkQeJp'}","{'date': '11/29/2016, 00:11:29', 'full_text': ""First comes #BlackFriday. Then comes #CyberMonday. Next comes #GivingTuesday! We're proud to support @RMHAtlantic for a second year.""}","{'date': '10/17/2019, 16:52:03', 'full_text': 'RT @DalSecurity: CAMPUS ALERT: Halifax campuses closing for the day due to power outages https://t.co/rCayw10wZ9'}"
129,"{'date': '07/08/2019, 19:52:33', 'full_text': 'RT @DalhousieU: Are you #DalBound this fall? 🐯 You can prepare for your first year before you even arrive on campus! Check out our Start on…'}","{'date': '11/15/2016, 18:54:57', 'full_text': ""For the 2nd year, in the spirit of #GivingTuesday, we're supporting @RMHAtlantic by collecting wish list items within our department. https://t.co/sqvE0fgO75""}","{'date': '10/16/2019, 14:59:42', 'full_text': 'Don’t miss your chance to get to know #DalhousieU! Visit campus, attend an academic session, and picture yourself as part of this amazing community! https://t.co/29I7TVhTDb'}"
130,"{'date': '07/08/2019, 11:10:10', 'full_text': '.@DalhousieSPA prof Jeffrey Roy appointed to Advisory Group on National Security Transparency\nhttps://t.co/KQTybzaqri'}","{'date': '11/12/2016, 15:12:24', 'full_text': 'Limited 2017 dates are still available in Shirreff Hall: https://t.co/Vv9ybhxSWz #DalWeddings https://t.co/pA4FYo3cQL'}","{'date': '10/15/2019, 17:02:39', 'full_text': 'Join former Governor General of Canada, Her Excellency the Right Honourable @MichaelleJeanF, for the 2019-20 Shaar Shalom Lecture at #DalhousieU tomorrow. RSVP at https://t.co/UbzxugApl6 @DAL_FASS https://t.co/Ut58SrcXLT'}"
131,"{'date': '07/05/2019, 19:25:26', 'full_text': ""“We rely on transporting goods by ship, but we don’t need to maintain the status quo. We can’t maintain the status quo; there is a better way.” – Read SRES prof Tony R. Walker's Clear Seas research spotlight. https://t.co/JQvi90owUT""}","{'date': '11/11/2016, 13:38:13', 'full_text': 'While our campuses are closed today, we encourage guests, clients and colleagues to pause and give thanks today. #LestWeForget https://t.co/h78vkV1lnX'}","{'date': '10/11/2019, 00:26:55', 'full_text': '@michael_smit Umm. Meant that to read *bear hugs. Sigh. Weird autocorrect.'}"
132,"{'date': '07/05/2019, 18:18:38', 'full_text': ""RT @Dalhousie_SITE: Reminder: due to a system update, employers &amp; students won't have access to myCareer services from July 8 - July 12. In…""}","{'date': '11/10/2016, 12:02:24', 'full_text': ""RT @meethalifax: Looking forward to today's education session @MPIAtlantic! @DalConferences @IgniteConnect""}","{'date': '10/11/2019, 00:10:29', 'full_text': '@michael_smit It was my distinct honour to be part of his moment. And besides - I love heads hugs!'}"
133,"{'date': '07/04/2019, 21:50:03', 'full_text': 'Not only do ultra-processed foods save families time and money, many processed foods have been unfairly maligned and can be nutritious as well as economical and convenient, argue @scharleb and @janetlmusic. https://t.co/7SAWQ0FMM5'}","{'date': '11/08/2016, 19:43:56', 'full_text': 'A great looking group! https://t.co/PlkCxYkfAd'}","{'date': '10/10/2019, 21:49:31', 'full_text': 'Fantastic! https://t.co/mBNDNIOuiZ'}"
134,"{'date': '07/04/2019, 15:17:57', 'full_text': 'What would a tree say if it could talk? MREM student Julietta Sorensen Kass is offers you a chance to find out with Text-A-Tree, coming this summer to the @HfxPublicGarden. Full story: https://t.co/2stCEAlrfJ https://t.co/a3Ku6gpYBh'}","{'date': '11/01/2016, 15:00:44', 'full_text': ""Have you heard? It's the @DalBookstore's Customer Appreciation Days! Enjoy 25% off most items until Nov. 3: https://t.co/KxfYpy3Xuq https://t.co/xvJ580v7AG""}","{'date': '10/10/2019, 21:48:31', 'full_text': 'Phenomenal to be at the lunch today recognizing our ~128 Pre-&amp; Post-doctoral researchers for @KillamTrusts Scholarships - @DalhousieU’s most celebrated award! Also the three-minute thesis presentations were fantastic. What a treat to hear from some of our best and brightest! https://t.co/T72zYT8wxV'}"
135,"{'date': '07/03/2019, 14:59:49', 'full_text': ""Congratulations to Brenda Smart from SRES, who was honoured at Dal's Milestone Tea for her 35 years of service. https://t.co/cK17Dd9m1m https://t.co/m1XOCre1MS""}","{'date': '10/31/2016, 12:05:08', 'full_text': ""It's that time of year again - happy Daloween! https://t.co/hPdAI6ENJq https://t.co/9kIRn9kZHX""}","{'date': '10/10/2019, 21:43:18', 'full_text': '@michael_smit It was epic. He is/was amazing.'}"
136,"{'date': '07/02/2019, 13:13:47', 'full_text': ""RT @DalhousieU: Are you #DalBound? Take advantage of this checklist to ensure you're ready to start off on the right foot! 🐯 https://t.co/b…""}","{'date': '10/28/2016, 15:01:14', 'full_text': 'Stay tuned for 2017 accommodation information, coming soon: https://t.co/VILfNdzLzf #StayAtDal https://t.co/hFEEOmbQym'}","{'date': '10/10/2019, 01:55:06', 'full_text': 'This is what it’s all about. https://t.co/LZQeCWDqUt'}"
137,"{'date': '07/02/2019, 12:59:24', 'full_text': 'RT @RoweBusiness: “We look at team dynamics, managing conflict in the workplace and developing communication skills.” \n@dalmba director Dan…'}","{'date': '10/28/2016, 12:00:51', 'full_text': ""Wishing our friends at @SchulichLaw &amp; @FoodLawCanada success with Canada's first food law conference next week. #FoodLaw https://t.co/mjZO1PzWL4""}","{'date': '10/09/2019, 18:47:32', 'full_text': 'What an opportunity provided by Stewart McKelvey for 2000 students - future leaders - to see @BarackObama when he is here in November, and join in the conversation about our future. I can’t wait! #DalProud #thinkhopeinthefuture https://t.co/z7QNHKWpo4'}"
138,"{'date': '07/02/2019, 12:53:18', 'full_text': '""If I\'m the yellow birch and someone asks me how my day is going, I might make a comment on how I\'m feeling pretty good, I\'ve been giving lots of shade to someone..."" MREM student Julietta Sorensen Kass on Text-A-Tree, starting Sunday at @HfxPublicGarden. https://t.co/1H4ahJH5kK'}","{'date': '10/27/2016, 16:15:30', 'full_text': 'We love our amazing clients and on-campus partners. #MeetAtDal #DalUnited https://t.co/JCDitJTbtq'}","{'date': '10/09/2019, 14:56:20', 'full_text': ""Don't miss tomorrow's #DalUnited Way Campaign kick-off event with The Big Sing! 2:30 p.m. at the Sculpture Court in the @DalArtsCentre: https://t.co/hMfal1p3on https://t.co/ylLWgjEbBz""}"
139,"{'date': '07/02/2019, 12:30:37', 'full_text': ""Distinguished Public Servant in Residence with @DalhousieSPA Mayann Francis's memoir will be available this month in hardcover. https://t.co/Wsf6jqtMec""}","{'date': '10/25/2016, 14:00:30', 'full_text': 'The @Dal_Alumni Women’s Division takes such great care of Shirreff Hall; our wedding couples appreciate our historic spaces. #DalWeddings https://t.co/IZ25faVTR8'}","{'date': '10/09/2019, 01:48:44', 'full_text': 'RT @SchulichLaw: Congrats to our small - but mighty - group of fall graduates! Taya Arnold, David Thiedemann, Daniel Cui and Sathesh Yogend…'}"
140,"{'date': '06/27/2019, 21:13:47', 'full_text': ""Congrats to Professor Peter Duinker, retiring from the School for Resource and Environmental Studies! He was the lead researcher for HRM’s Urban Forest Master Plan and project lead for Dal’s 200 Trees planting project. He'll be missed! https://t.co/Rd2ZEaPF6H""}","{'date': '10/23/2016, 14:18:02', 'full_text': 'Ready to chat with couples today about Shirreff Hall, at the @AtlanticWedding Show! #DalWeddings https://t.co/q8PQcu9u94'}","{'date': '10/09/2019, 01:48:34', 'full_text': 'RT @DalChancellor: Happy to be in #Halifax for our fall #DalGrad ceremonies.  Looking forward to meeting our graduates'}"
141,"{'date': '06/27/2019, 21:04:30', 'full_text': ""Congrats to @dalsimnews retirees JoAnn Watson (MLIS Program Co-ordinator/Management Academic Integrity Co-ordinator) and Professor Bertrum MacDonald! \nThey'll be missed! https://t.co/oyN4Zbvo4J""}","{'date': '10/17/2016, 18:20:43', 'full_text': ""RT @SchulichLaw: Join @FoodLawCanada &amp; @devourfest on Nov. 3–4 for Canada's first-ever #foodlaw conference co-organized by #SchulichLaw's @…""}","{'date': '10/08/2019, 12:57:59', 'full_text': 'RT @DAL_FASS: This evening @ 7pm @hfxpublib , join faculty members from @DalhousieU FASS and @SMArts_SMU for a public teach-in on Islam &amp; I…'}"
142,"{'date': '06/22/2019, 11:00:20', 'full_text': 'RT @tonyrwalker1: Our new article published in The Conversation ‘Why Canada’s single-use plastic ban could help the environment and wildlif…'}","{'date': '10/17/2016, 11:58:19', 'full_text': 'Perfect way to start off a Monday? By touring a prospective couple through Shirreff Hall, of course! Photo: @amandaewalker https://t.co/DuL5CpeBKZ'}","{'date': '10/08/2019, 11:31:01', 'full_text': 'Love it! https://t.co/Pe4VMMCpI2'}"
143,"{'date': '06/22/2019, 10:59:51', 'full_text': 'RT @tonyrwalker1: “Another factor is cost“ Fast food players take tentative steps towards sustainable packaging https://t.co/O1UuCltPLE @sc…'}","{'date': '10/15/2016, 20:39:44', 'full_text': ""Wonderful to see the DAA Women's Division in our historic Shirreff Hall for tea. #DalHomecoming https://t.co/MNJwKRN424""}","{'date': '10/07/2019, 20:22:45', 'full_text': ""Check out the latest From the Interim President's Desk email here: https://t.co/aeMQ8cB4rJ""}"
144,"{'date': '06/19/2019, 19:44:48', 'full_text': 'RT @RoweBusiness: Rowe professor Scott Comber is receiving the Early Career Faculty Award of Excellence for Teaching today at the Dalhousie…'}","{'date': '10/12/2016, 21:32:51', 'full_text': ""We're in! #DalUnited @UWHalifax https://t.co/v8TfEBIkWC""}","{'date': '10/07/2019, 13:35:32', 'full_text': 'RT @DalhousieU: All are invited to this panel presentation and open discussion at the @hfxpublib. 📨 https://t.co/KSRt26cDnH'}"
145,"{'date': '06/19/2019, 19:24:19', 'full_text': 'RT @CranstonAnna: Hey @DalManagement, our very own Brenda Smart is celebrating 35 years at Dalhousie!  Congratulations Brenda, and THANK YO…'}","{'date': '10/10/2016, 16:53:41', 'full_text': 'RT @_lindawright: Thank you @DalConferences and @quinnlyle for sure a wonderful day! You are the best https://t.co/MbBFE07AfT'}","{'date': '10/05/2019, 16:15:20', 'full_text': '@DrIvanJoseph How about this one too? ✔️Help someone. Notice when/where folks might need a hand... Had the distinct pleasure today while out running, just passing by, of helping someone put a box on a cart that was trying to roll away. Simple: notice need, hold cart. And smile. Feels good!'}"
146,"{'date': '06/19/2019, 12:25:47', 'full_text': 'RT @DalhousieU: Are you a graduate student working, studying, or learning abroad this summer? ✈ @DalGradStudies wants to hear about your su…'}","{'date': '10/10/2016, 01:26:37', 'full_text': 'Congratulations to our very own Linda (Wright) Parker, wed this evening in Shirreff Hall. #DalWeddings https://t.co/r28br1EsYT'}","{'date': '10/05/2019, 01:15:13', 'full_text': 'RT @DAL_FASS: Halifax will host The https://t.co/fLrO9bOk03 International Conference Oct 31-Nov 2. 40 internationally renowned Cuba scholar…'}"
147,"{'date': '06/19/2019, 12:25:08', 'full_text': 'RT @DalhousieU: As we wrap up our Strategic Direction, this year’s #DalTownHall will give us a chance to celebrate our successes, highlight…'}","{'date': '10/08/2016, 17:27:07', 'full_text': 'Congratulations to the couple celebrating their wedding with us tonight! #DalWeddings https://t.co/LUqUU4goAv'}","{'date': '10/04/2019, 23:15:47', 'full_text': 'It is an impactful program worthy of support. Proud to be here tonight. https://t.co/BZ7dT2GTBh'}"
148,"{'date': '06/19/2019, 12:14:04', 'full_text': 'RT @tonyrwalker1: Fieldwork in Boat Harbour doing a spot of passive sampling for #metals and #methylmercury with @meaghanq3 and Meenakshi C…'}","{'date': '10/05/2016, 21:22:23', 'full_text': '.@DalFoodServices is recruiting a Catering Coordinator in #Halifax: https://t.co/Cup36CrUSr https://t.co/L4ZMdYOuko'}","{'date': '10/04/2019, 23:14:56', 'full_text': 'RT @SenatorWanda: At Dal TYP 50th Anniversary celebration where Interim President Dr Balser recommitting Dal’s support for this education a…'}"
149,"{'date': '06/19/2019, 12:12:46', 'full_text': 'RT @tonyrwalker1: Is that my plastic bag in the Mariana Trench? - https://t.co/rGuwzK7zkJ https://t.co/HQAAGwFiIh'}","{'date': '10/05/2016, 18:57:59', 'full_text': 'Our acting sales manager, Lyle Quinn, speaks about the city he loves: #Halifax. https://t.co/Gwq0G7e5B1'}","{'date': '10/04/2019, 23:14:30', 'full_text': 'Powerful song for a powerful program. Proud to be here tonight in support. https://t.co/mXXtHXpM5R'}"
150,"{'date': '06/18/2019, 12:17:46', 'full_text': 'RT @Hunter_dal: Dr. Bertrum MacDonald: Taking Academic Research into the Workplace Because It Matters  @dalsimnews @DalManagement  @DALCEGE…'}","{'date': '09/30/2016, 23:06:06', 'full_text': ""We can't wait to introduce new #Dal_IDEA facilities to our clients in 2018. #MeetAtDal https://t.co/iGEH7lTLX1""}","{'date': '10/04/2019, 01:38:45', 'full_text': 'Proud to be part of it, even in a small way! https://t.co/N8e5yO1c2d'}"
151,"{'date': '06/13/2019, 14:31:32', 'full_text': 'RT @scharleb: #Plastics in #food: ""The environmental factor, as with the issue of food safety, has zero market currency. Charging more for…'}","{'date': '09/26/2016, 16:11:26', 'full_text': '@paperheartsHFX ❤️😁🐯'}","{'date': '10/03/2019, 22:33:37', 'full_text': '@JRJCHAIR - fantastic evening. Thank you!'}"
152,"{'date': '06/13/2019, 14:31:17', 'full_text': 'RT @DalMIPP: In our final 2018 Policy Matters panel, @MaureenMLA , @MA_Gagnon, and @kfierlbeck discuss why a universal #pharmacare program…'}","{'date': '09/22/2016, 00:15:22', 'full_text': 'Looking forward to hosting @FusionHalifax tomorrow! #MeetAtDal https://t.co/UAiCkIJEZh'}","{'date': '10/03/2019, 21:59:15', 'full_text': 'What an honour to hear from our newest James R Johnston Chair in Black Canadian Studies tonight at the Black Cultural Centre. Welcome to @DalhousieU Dr. Omisoore Dryden! https://t.co/KQCkfjCZns'}"
153,"{'date': '06/11/2019, 17:16:36', 'full_text': 'Distinguished Public Service Fellow from @DalhousieSPA, Mayann Francis is launching her book tomorrow at 6:30. The event will include live music, a reading by Shauntay Grant, refreshments and books for sale and signing. Everyone is welcome! https://t.co/EumAgyh8yR'}","{'date': '09/15/2016, 12:30:48', 'full_text': 'Looking forward to welcoming attendees to #Halifax in 2018! https://t.co/LoXxONKhPL'}","{'date': '10/02/2019, 18:30:22', 'full_text': 'RT @DAL_FASS: Tues Oct 8-the Dal Faculty Association &amp; FASS invite the public to a panel presentation &amp; open discussion @hfxpublib. Moderat…'}"
154,"{'date': '06/11/2019, 17:14:21', 'full_text': 'RT @DalMCS: LAST CHANCE, Grads! Take the @DalManagement Exit Survey before noon today to be entered to WIN! The direct link was sent to you…'}","{'date': '09/07/2016, 00:50:05', 'full_text': 'Shirreff Hall = #DalWeddings magic: https://t.co/Vv9ybhxSWz 👰 🌺 🎂 \n\n📷: @caitlyncolford https://t.co/jC6QOir7VU'}","{'date': '10/02/2019, 01:51:10', 'full_text': 'RT @brendini5: Hello #LeadAndRead colleagues! A few links to support our #DareToLead journey.  1st, the workbook! I have tagged a few hear,…'}"
155,"{'date': '06/07/2019, 16:44:31', 'full_text': 'RT @DalhousieU: The results of a new survey, co-authored by @scharleb of #DalhousieU, show that 93.7% of Canadians surveyed are personally…'}","{'date': '09/02/2016, 19:05:49', 'full_text': 'Best of luck to all first-year students moving into @DalResidence this weekend! #DalBound #DalSweetDal https://t.co/0qT9lKnOto'}","{'date': '10/01/2019, 17:44:11', 'full_text': 'Our annual #DalUnited campaign begins on Oct. 15!\n\nOn Oct. 10, all are welcome to attend a kick-off event featuring The Big Sing. Learn more: https://t.co/ZdB3E2uX7C'}"
156,"{'date': '06/07/2019, 16:42:18', 'full_text': 'RT @DalMCS: With graduation now behind you, what lies ahead? Take the  @DalManagement Exit Survey and you could WIN a $250 gift card! See y…'}","{'date': '08/31/2016, 12:08:27', 'full_text': ""(Not that we're surprised... 😉)""}","{'date': '10/01/2019, 12:40:23', 'full_text': 'Colourful dynamic important! @DalhousieU: 10th Mawio’mi yesterday, on Orange Shirt Day recognizing the residential school survivors. And I got to meet with Grand Chief Norman Sylliboy! Thanks to organizers and participants for bringing this incredible event to campus. #DalProud https://t.co/z96cOCEQej'}"
157,"{'date': '06/07/2019, 16:41:09', 'full_text': 'RT @tonyrwalker1: Listen to the Radio Canada International interview with Lynn Desjardins here https://t.co/0m2QYxmEqe @DalNews @DalManagem…'}","{'date': '08/31/2016, 12:06:28', 'full_text': ""Shirreff Hall has been named one of Can's most beautiful res buildings by @HuffPostCanada: https://t.co/7yBpgrlooq https://t.co/b23L4tYrsj""}","{'date': '10/01/2019, 12:34:48', 'full_text': ""RT @DalGradStudies: Want to know where Canada's main political parties stand on environmental issues? Biology master's student Isabelle Hur…""}"
158,"{'date': '06/06/2019, 12:20:10', 'full_text': 'Majority of Canadians actively shopping for food with non-plastic packaging, Dalhousie survey from @tonyrwalker1 and @scharleb finds: https://t.co/0DilnUGMC4'}","{'date': '08/29/2016, 22:08:34', 'full_text': 'There are only six available weekends next spring/summer in Shirreff Hall: https://t.co/Vv9ybhxSWz #DalWeddings https://t.co/buIZCiA30l'}","{'date': '09/28/2019, 22:27:13', 'full_text': 'Gorgeous night for @DalTigers football! https://t.co/mHxMrISAjI'}"
