,DalArtsCentre,Dal_CSS,DalIntcentre
204,"{'date': '08/23/2019, 15:13:30', 'full_text': ""#Halifax! Our friends downstairs at the @DalArtGallery are hosting an opening reception next week for Atmospheric Events. Check out the Gallery's link for further details (and for information on Responsive: International Light Art Project Halifax, coming up in September!). https://t.co/xXhKt749pY""}","{'date': '07/08/2016, 18:03:43', 'full_text': ""I think we're all a computer-potato every now and again. Read a blog post about a student in Dal CS! https://t.co/9KS1xdDsK6""}","{'date': '03/16/2019, 00:01:25', 'full_text': 'More awesome flamenco! \u2066@daldisa\u2069 https://t.co/7cdQWPbhXi'}"
205,"{'date': '08/23/2019, 12:45:38', 'full_text': ""DON'T FORGET! Tickets to @officialbhoy's Age of Fools tour stop in the Rebecca Cohn Auditorium on November 9, presented by @justforlaughs, go on sale today at NOON! To purchase: https://t.co/gqPE5JKgNE https://t.co/JC4T1eTtJ4""}","{'date': '07/08/2016, 18:00:09', 'full_text': 'RT @FEEDNOVASCOTIA: We are critically low on food. Please RT and help if you can. https://t.co/a1BkRmLvF5'}","{'date': '03/15/2019, 23:50:56', 'full_text': 'For the love of flamenco - great style, great dance. \u2066@daldisa\u2069 https://t.co/RevurOcRts'}"
206,"{'date': '08/22/2019, 13:03:19', 'full_text': 'Hey #DalhousieU students! Looking for a job while attending school in #Halifax? Check out the positions we are hiring for in the coming weeks: https://t.co/6zFLnCd241 https://t.co/5S2aSrdedp'}","{'date': '07/04/2016, 15:43:54', 'full_text': ""Machines may be part of us, but we're all really just mushy soft things. https://t.co/lLvNfZOroA""}","{'date': '03/15/2019, 23:46:12', 'full_text': 'Latinspanica at Dal International Night - great dancing! \u2066@daldisa\u2069 https://t.co/McxS6Vtavo'}"
207,"{'date': '08/21/2019, 11:51:30', 'full_text': '#Halifax! Get ready to laugh! Danny Bhoy (@officialbhoy) is bringing his Age of Fools tour to the Rebecca Cohn Auditorium on November 9 at 7:30! Tickets go on sale this Friday at noon (note: some venues are 10:00am but our Box Office opens at 12:00pm). https://t.co/gqPE5JKgNE https://t.co/NBArZmlRUs'}","{'date': '06/29/2016, 13:35:25', 'full_text': 'RT @dalfcs: @shiftkeylabs IT Consulting Competition in partnership with FCS, CGI, NTT Data, &amp; IBM. July 16. https://t.co/FyxfW3DXZY @Dal_CS…'}","{'date': '03/15/2019, 22:09:28', 'full_text': 'Emily entertaining is at DISA’s International Gala - awesome! \u2066@daldisa\u2069 https://t.co/0UEMM52rER'}"
208,"{'date': '08/19/2019, 18:49:35', 'full_text': 'Join us on September 14 for An Evening with @dawestheband: Passwords Tour, presented by \n@SonicConcerts. To purchase tickets: https://t.co/gqPE5JKgNE #Halifax https://t.co/fIoFH5u8vK'}","{'date': '06/23/2016, 17:17:45', 'full_text': ""If you're a CS undergrad doing an Honours, you can also participate!  https://t.co/PHX8yDBF8o""}","{'date': '03/15/2019, 21:27:51', 'full_text': 'Porcelain Lotus performing at International Gala Night. Wow! \u2066@daldisa\u2069 https://t.co/koT0whHCGY'}"
209,"{'date': '08/16/2019, 17:52:20', 'full_text': 'RT @CostumeStudies: In case you missed it: https://t.co/2GMKRIHQxK'}","{'date': '06/21/2016, 15:38:55', 'full_text': 'RT @dalfcs: This Saturday: For students interested in learning skills before joining CS! @MyFutureisDal https://t.co/1rYKZ7z2qb https://t.c…'}","{'date': '03/15/2019, 01:12:21', 'full_text': 'RT @DalPres: The university community is invited to attend a student-focused  Discussion on Diversity and Inclusiveness at Dalhousie next M…'}"
210,"{'date': '08/16/2019, 17:52:17', 'full_text': 'RT @CostumeStudies: The new Heritage Minute from Historica Canada has strong Dal connections! Costume Studies prof Hilary Doda consulted on…'}","{'date': '06/20/2016, 16:58:58', 'full_text': 'RT @scratch: ""I\'ve always liked creating things. I learnt how to create programs to solve problems."" https://t.co/QMVFL1IZKY'}","{'date': '03/14/2019, 15:45:32', 'full_text': 'We’re celebrating Pi Day at the International Centre with lots of pie!!  Drop in for a treat! https://t.co/BQvs6gj5Fg'}"
211,"{'date': '08/16/2019, 17:37:05', 'full_text': 'Have you purchased your tickets to Atlantic Blue - A Celebration of East Coast Songwriters with @taramacmusic? The show, presented by @Stanfest, comes to the Rebecca Cohn Auditorium on November 4 at 7:30! To buy online: https://t.co/gqPE5JKgNE #Halifax https://t.co/SrjUFd4LWG'}","{'date': '06/17/2016, 12:19:15', 'full_text': 'Thank goodness for #ComputerScience , eh? https://t.co/0GMwSeWxR6'}","{'date': '03/12/2019, 19:59:30', 'full_text': 'RT @DalTigers: Going to be in Edmonton this weekend? Be sure to watch the Tigers in their 7th-straight national championship tournament! @D…'}"
212,"{'date': '08/14/2019, 15:17:17', 'full_text': 'RT @FSPADal: Delighted to have Big Little Lies actor @MrJamesTupper visit us on campus yesterday! @FSPAdirector gave him a behind the scene…'}","{'date': '06/14/2016, 13:07:41', 'full_text': ""RT @HHHalifax: Mark your calendars! Our next event will take place on June 22. Register here: https://t.co/QIum4eNxUX Can't wait! &lt;+&gt; @hack…""}","{'date': '03/10/2019, 21:15:41', 'full_text': 'Thank you @DalTigers men’s basketball for an awesome couple of weekends. 🌟🏀'}"
213,"{'date': '08/14/2019, 15:05:55', 'full_text': 'Have you been following along with @thefilmfest updates? Check out their page for lots of great announcements about the upcoming film festival! Tickets are now on sale for MURMUR, directed by Heather Young, in the Rebecca Cohn Auditorium on September 12: https://t.co/gqPE5JKgNE https://t.co/Y78wvERcw4'}","{'date': '06/13/2016, 14:10:22', 'full_text': ""RT @DalPres: In honour of victims of the abhorrent hate crime in #Orlando I've asked Dal campuses to lower flags and fly the rainbow flag a…""}","{'date': '03/10/2019, 15:32:57', 'full_text': ""RT @DalTigers: Hey Tigers fans! Don't forget that the clocks changed last night! We tip off in our @USPORTSca men's basketball bronze medal…""}"
214,"{'date': '08/13/2019, 17:31:37', 'full_text': 'RT @FSPADal: Join the Fountain School of Performing Arts students and faculty in a live Concert Sept 7, 7 - 8 pm in the Cohn for   @Mysteri…'}","{'date': '06/08/2016, 21:08:51', 'full_text': ""@DalWiTS meeting right now! Brought to you by their CSS Rep' https://t.co/PLArsUyhag""}","{'date': '03/09/2019, 14:18:37', 'full_text': 'Students learning from students at the BEST conference, including our very own Roc Wang! #bestNS2019 \u2066@DalhousieU\u2069 https://t.co/mRer33iJ8I'}"
215,"{'date': '08/13/2019, 12:33:08', 'full_text': ""#Halifax! Have you purchased your tickets to @johnbcrist's Immature Thoughts Tour show in the Rebecca Cohn Auditorium on November 13? You can now save $4.00/ticket on regular and premium tickets if you purchase a group of four tickets! https://t.co/C59adKuy16 https://t.co/NuEIPVUR24""}","{'date': '06/07/2016, 19:04:06', 'full_text': 'Ramadan Mubarak! https://t.co/omM2JvvtyW'}","{'date': '03/09/2019, 14:12:56', 'full_text': 'RT @DalTigersAD: We need you again tonight Halifax!!  @DalTigers take on #1 Carleton in the national semi-final at 6pm and your support is…'}"
216,"{'date': '08/12/2019, 19:52:01', 'full_text': '#Halifax! Have you purchased tickets to @rendcollective : Revival Anthem Tour in the Rebecca Cohn Auditorium on September 22? It looks like it will be a great show! https://t.co/bOIzj7L3dL'}","{'date': '06/07/2016, 16:48:58', 'full_text': ""RT @github: Pride Month is here, and we'd like to celebrate with you: https://t.co/WthvVKfk2G""}","{'date': '03/04/2019, 19:56:32', 'full_text': 'RT @DrIvanJoseph: And so it begins. https://t.co/XtHgTIoGOl'}"
217,"{'date': '08/09/2019, 20:23:10', 'full_text': 'Calling all folk music fans! Tickets are now on sale for ""An Intimate Evening with Folk Legend Valdy"" in the Sir James Dunn Theatre on September 28, presented by Sandpiper Productions East. To purchase: https://t.co/gqPE5JKgNE #Halifax https://t.co/R7O4DSohrK'}","{'date': '06/04/2016, 15:36:00', 'full_text': 'CSS meeting is at 1pm in the JS room! Anyone is welcome to join! #Meetings #FeelsImportant #DalProgress #hashtags https://t.co/GbQ8rmtO28'}","{'date': '02/26/2019, 12:01:32', 'full_text': ""RT @CBCAlerts: BREAKING: Halifax MP Andy Fillmore says 'several family members' of Syrian refugee parents who lost their 7 children in a ho…""}"
218,"{'date': '08/08/2019, 17:40:30', 'full_text': ""#Halifax! Tickets are on sale for Atlantic Blue - A Celebration of East Coast Songwriting, presented by @Stanfest, and we expect the November 4 show will be spectacular! Don't believe us? Check out the show description on @taramacmusic's website: https://t.co/5ejlysEG9e https://t.co/hSQyi9eER6""}","{'date': '06/02/2016, 19:55:24', 'full_text': 'RT @workatdal: RT@hfxgov:Curbside Give Away Weekend Jun 4&amp;5! FREE up space, score FREE stuff! https://t.co/jjeLGArAHS. #hfxcurbside https:/…'}","{'date': '02/24/2019, 00:05:24', 'full_text': 'RT @charstanwood: Congratulations Nat, you earned this❤️ https://t.co/TyffhcGus4'}"
219,"{'date': '08/07/2019, 14:30:38', 'full_text': '#Halifax! Tickets to ""@BarraMacNeils: An East Coast Christmas - in concert"", a @BDiamondProd Production, are on sale now! Join the Cape Breton favourites in the Rebecca Cohn Auditorium on December 22 at 3:00pm and/or 7:30pm. To purchase: https://t.co/gqPE5JKgNE https://t.co/efYYEhhPs2'}","{'date': '06/02/2016, 19:03:11', 'full_text': 'RT @DalPROsocial: @MyFutureisDal We will be looking for volunteers in Sept to help us promote mental health at Dal! Follow us: https://t.co…'}","{'date': '02/24/2019, 00:03:03', 'full_text': 'RT @CoachAStamm: @DalTigers 🏀 celebrating a big 4 point W over @MUNSeahawks with a photo shoot on #SignalHill #PlayOffBound https://t.co/YH…'}"
220,"{'date': '08/02/2019, 13:12:13', 'full_text': ""#Halifax! The Dalhousie Arts Centre Box Office and Administration Office will be closed for Natal Day on Monday, August 5. Tickets can be purchased 24/7 online (https://t.co/gqPE5JKgNE) which has us wondering why it isn't beach day every day... https://t.co/5QvCdfCyqS""}","{'date': '06/01/2016, 23:32:57', 'full_text': 'Terry Lin graduated with a B. Informatics. Congrats! @dalfcs @Dal_Alumni #WeAreDalCS \nView: https://t.co/6nqzh2m8vf https://t.co/qYEWMRXm6n'}","{'date': '02/23/2019, 12:09:34', 'full_text': 'RT @TroyBoyMartin: Rudy and the Beast 🌹 #PutYourPetInAMovie https://t.co/gFAcGwHTpg'}"
221,"{'date': '08/01/2019, 15:04:11', 'full_text': ""Get 'em while they're hot, #Halifax! Single tickets are on sale to @SymphonyNS' 2019-2020 season NOW! To purchase: https://t.co/gqPE5JKgNE https://t.co/OjW2eUSNa7""}","{'date': '06/01/2016, 16:40:43', 'full_text': 'Grad bio for Matthew Hall! @Dal_Alumni @dalfcs #dalgrad #WeAreDalCS #grad2016 \nView: https://t.co/p1T7BzdQiM https://t.co/WhuViatC8y'}","{'date': '02/23/2019, 01:12:32', 'full_text': 'RT @APTNNews: There are over 14,000 Indigenous kids under 14 in foster care across Canada who legally cannot tell their stories on camera.…'}"
222,"{'date': '08/01/2019, 13:03:32', 'full_text': 'RT @SymphonyNS: ICYMI: Single tickets for our 2019-20 season go on sale TODAY at noon! Grab yours early to get the best seats in the house.…'}","{'date': '05/31/2016, 21:28:14', 'full_text': ""Outgoing CSS Pres' - Richard Sage - graduated this week! Read the little bio we did on him: https://t.co/S9fZmRPrf4 https://t.co/KP9GH9BXOC""}","{'date': '02/22/2019, 19:01:41', 'full_text': 'The multi-language painting event is happening now at the International Centre. Thank you HRES and Dal Connects for hosting! https://t.co/RQfZIwit01'}"
223,"{'date': '08/01/2019, 12:24:42', 'full_text': '@TwitCoast @matt_andersen @themellotones @SonicConcerts Also, we have worked with (or admired from afar!) many people and organizations under the music category. How lucky are we to have so much talent in this city, #Halifax?'}","{'date': '05/30/2016, 18:49:41', 'full_text': ""RT @Dalnews: We've just added pics from this morning's @DalArchPlan &amp; @dalfcs #DalGrad ceremony to our FB page.  Have a look:  https://t.co…""}","{'date': '02/18/2019, 22:22:16', 'full_text': 'The Dal Connects Heritage Day potluck and games night is happening at the International Centre - great food and lots of fun!! https://t.co/PE1jZDxeMV'}"
224,"{'date': '08/01/2019, 12:18:54', 'full_text': '#Halifax! We are nominated for @TwitCoast\'s Best of Halifax 2019 ""Best Live Music Venue"" and @matt_andersen with @themellotones in the Rebecca Cohn Auditorium, presented by @SonicConcerts, is nominated for ""Best Live Show""! Thanks to those who nominated us and that show! https://t.co/eUVosNUkqi'}","{'date': '05/30/2016, 18:47:27', 'full_text': 'RT @Dalnews: .@dalfcs was a perfect fit for 2016 #DalGrad Salman Mohammed.  Read his story.  #DalProud https://t.co/PXoFXPaHry https://t.co…'}","{'date': '02/14/2019, 23:54:21', 'full_text': 'Rules relaxed for Canadian Post-Graduation Work Permit | Polestar Student Immigration News https://t.co/TikKoRj5dW'}"
225,"{'date': '07/31/2019, 16:50:25', 'full_text': ""RT @SymphonyNS: Tickets for our 2019/20 concerts go on sale tomorrow at 12pm! Don't miss out on top-selling shows like Natalie MacMaster, B…""}","{'date': '05/30/2016, 18:46:49', 'full_text': 'RT @CarolynatDal: First day of Dal convocations. Happy planning and Architecture,Dean of ComputerScience &amp; Mike with Mace #DalGrad https://…'}","{'date': '02/14/2019, 23:49:18', 'full_text': ""RT @DAL_FASS: Interested in studying abroad in the Czech Republic? There's still time to apply for the Advanced Seminar in Baroque Culture…""}"
226,"{'date': '07/31/2019, 15:17:11', 'full_text': ""FREE CONCERT ALERT! Our friends over at @SymphonyNS are hosting some free concerts in #Halifax today. Don't forget: their single tickets go on sale tomorrow at noon! https://t.co/nc9R8nOqVa""}","{'date': '05/30/2016, 12:02:22', 'full_text': ""RT @CompChimera: Can't sleep - excited for my @Dal_Alumni grad today! I'll be sharing #behindTheScenes shots today! Stay tuned! https://t.c…""}","{'date': '02/13/2019, 10:11:59', 'full_text': 'RT @DalhousieU: CAMPUS ALERT - Storm closure: Halifax campuses closed today, Truro campus delayed opening  https://t.co/tTEd6lRzXC'}"
227,"{'date': '07/30/2019, 17:15:07', 'full_text': ""Canada's favourite handyman, Red Green, is bringing his This Could Be It Tour to the Rebecca Cohn Auditorium on October 29, presented by Rocklands Entertainment. To purchase: https://t.co/gqPE5JKgNE #Halifax https://t.co/UnaalnlN2G""}","{'date': '05/23/2016, 14:36:05', 'full_text': ""Nova Scotia is the only province you'll find the power company making JB jokes @nspowerinc https://t.co/yewNUeLNPv""}","{'date': '02/11/2019, 00:42:54', 'full_text': 'RT @AUS_SUA: Thanks to our friends at @CurlingNL, @CurlingCanada, @SJCCRemaxCentre and of course @MUNathletics for helping stage this year’…'}"
228,"{'date': '07/30/2019, 16:45:42', 'full_text': '#Halifax! Catch the Cape Breton Summertime Revue in the Rebecca Cohn Auditorium TONIGHT at 7:30pm. To purchase tickets: https://t.co/C59adKuy16 https://t.co/knj0xGrQwO'}","{'date': '05/19/2016, 21:15:02', 'full_text': 'Our President - Brandon Poole - is enjoying his co-op at Eyeball this summer. Feel free to share yours with us too! https://t.co/ZlqN9ztGQe'}","{'date': '02/11/2019, 00:41:32', 'full_text': ""RT @DalhousieU: We're proud to house the first @NCTR_UM location in Mi'kma'ki, the traditional and unceded territory of the Mi’kmaq. (🏷: @D…""}"
229,"{'date': '07/30/2019, 15:19:42', 'full_text': 'RT @LaunchDal: Tomorrow is the big day! We are showing off our LaunchPad 2019 cohort at LaunchPad Demo Day taking place at 6:30pm at the Re…'}","{'date': '05/07/2016, 13:42:51', 'full_text': 'Diversity, society, and faculty focused questions will be on the whiteboard in the CS Atrium. Give us your answer! https://t.co/IJsuhwdTOw'}","{'date': '02/10/2019, 17:22:13', 'full_text': 'RT @DalTigers: Way to go curlers! 🥌 #TigerPride https://t.co/xBqOHiUb73'}"
230,"{'date': '07/29/2019, 13:24:42', 'full_text': '#Halifax! Have you purchased tickets to @rendcollective yet? Check out this video for details! https://t.co/jYijtHNwWv'}","{'date': '05/05/2016, 04:10:52', 'full_text': 'RT @llcvictoria: We are excited to finally announce that we are now accepting our 1st round of Merit Scholarship Applications https://t.co/…'}","{'date': '02/10/2019, 16:19:02', 'full_text': 'Dal Tigers Women’s and Men’s curling teams are the AUS champions!  Go @DalTigers !! 🥌🌟'}"
231,"{'date': '07/26/2019, 15:23:39', 'full_text': 'RT @LaunchDal: RSVP today for LaunchPad Demo Day 2019 - happening on Wednesday, July 31st at the Rebecca Cohn Auditorium! Come on out to se…'}","{'date': '05/03/2016, 19:08:49', 'full_text': 'We are definitely moving in the right direction. Did you know that women outnumber men on the CSS Exec this year? https://t.co/6jbVjX3RQG'}","{'date': '02/09/2019, 21:10:37', 'full_text': 'Scoreboard « Newfoundland &amp; Labrador Curling Association - Dal Tigers Men’s Team is in the AUS Curling Championship game at 9:30 AM on Sunday, February 10. Go \u2066@DalTigers\u2069  https://t.co/Pg1sKMOR0d'}"
232,"{'date': '07/25/2019, 13:44:57', 'full_text': ""#Halifax! Spend Saturday afternoon on the golf course and then swing by the Rebecca Cohn Auditorium in the evening for @Fehertwit's Live Off Tour show, presented by @JonesEntGroup! To purchase tickets: https://t.co/gqPE5JKgNE https://t.co/saOiPLGeB3""}","{'date': '05/02/2016, 03:42:36', 'full_text': ""RT @learningcode: Hey, #Sydney parents! There's still time to sign up for Saturday's parent-child Kids Learning Code workshop! https://t.co…""}","{'date': '02/09/2019, 21:09:01', 'full_text': 'Scoreboard « Newfoundland &amp; Labrador Curling Association - Dal Tigers Women’s Team is in the AUS curling championship at 9:30 AM on Sunday, February 10. Go \u2066@DalTigers\u2069  https://t.co/Pg1sKMOR0d'}"
233,"{'date': '07/24/2019, 18:39:15', 'full_text': ""#Halifax! Are you coming to @ThorgyThor with @SymphonyNS this evening? Check out the Symphony's tweet about meet and greet details! https://t.co/0YaLb3WCBy""}","{'date': '04/27/2016, 13:26:20', 'full_text': 'RT @dalfcs: Have a great business idea you want to move forward?Apply now to Dal’s $100K Competition https://t.co/Qz1FuofPxa @Dal_CSS @DalW…'}","{'date': '02/09/2019, 11:35:56', 'full_text': 'RT @univcan: ""Canada’s economy needs workers with global learning experiences — providing more internships abroad will invariably buttress…'}"
234,"{'date': '07/24/2019, 17:10:48', 'full_text': 'RT @SymphonyNS: Pre-sales are still open! Check out the pre-sale concerts and codes, and how to purchase your tickets on our website. (The…'}","{'date': '04/18/2016, 23:48:53', 'full_text': 'We feel this is especially relevant to CS students. https://t.co/69qwL3ZWfb'}","{'date': '02/09/2019, 11:33:39', 'full_text': 'RT @DalhousieU: #TBT to #DalhousieU original Wanda Thomas Bernard, who influenced not only academia but agency and community-based social w…'}"
235,"{'date': '07/23/2019, 19:15:35', 'full_text': '#Halifax! Have you purchased your tickets to @Fehertwit in the Rebecca Cohn Auditorium on July 27? https://t.co/gqPE5JKgNE https://t.co/EbFMkAELKR'}","{'date': '04/15/2016, 19:44:58', 'full_text': 'RT @DalStudentUnion: FREE Yoga tonight in the Wellness Room! 5 PM in the lower level of the SUB https://t.co/Ui22p68U5C'}","{'date': '02/09/2019, 11:31:48', 'full_text': ""RT @TrilliumGift: Canadians are nice. And there's nothing nicer than being an organ donor. Register today and let's be a DONORnation.""}"
236,"{'date': '07/23/2019, 15:02:08', 'full_text': 'RT @SymphonyNS: PRE-SALES are on now! We want YOU to get the best seats in the house before they go on sale to the general public, because…'}","{'date': '04/13/2016, 17:46:50', 'full_text': 'RT @voltaeffect: Our open hackathon is only 2 1/2 weeks away! Meet, hack, eat and win a $1,000 grand prize: https://t.co/Q3hRxmWUGv https:/…'}","{'date': '02/07/2019, 16:04:16', 'full_text': 'The Dal Job &amp; Career Fair is happening right now in the McInnes Room of the SUB. \u2066@DalNews\u2069 https://t.co/oWBVHpxej3'}"
237,"{'date': '07/23/2019, 13:07:58', 'full_text': 'RT @SymphonyNS: Reminder that pre-sales start today at 12pm and end on July 25 at 6pm. Beat the rush and get the best seats in the house fo…'}","{'date': '04/12/2016, 08:41:35', 'full_text': 'RT @shiftkeylabs: Enjoy some friendly competition at our two-hour JS app building challenge! @dalfcs @Dal_CSS @DalCSGS https://t.co/3G0mfAw…'}","{'date': '02/07/2019, 10:55:26', 'full_text': 'RT @teribalser: Diversity and inclusiveness are central @DalhousieU values. We are committed to ensuring that everyone feels they belong he…'}"
238,"{'date': '07/22/2019, 18:17:04', 'full_text': 'RT @SymphonyNS: Pre-sales for our 2019-20 #concerts with @NatMacMaster, @jdutchermusic, @lenniegallant, @CatMacLellan, @iamREENY, and @Heat…'}","{'date': '04/08/2016, 19:56:04', 'full_text': 'Donald trump is definitely a person @AtlSecCon https://t.co/X86kS3L1sX'}","{'date': '02/05/2019, 13:23:46', 'full_text': 'RT @DalHRES: Lunar New Year (4717) - Year of the Pig\nThe first day after the new (dark) moon is a religious and cultural festival celebrate…'}"
239,"{'date': '07/22/2019, 13:00:56', 'full_text': 'RT @SonicConcerts: Next month! @dawestheband make their #Halifax debut at the @dalartscentre on Saturday, Sept. 14 as part of their #Passwo…'}","{'date': '04/08/2016, 17:42:38', 'full_text': 'Leave it to the @dalfcs to steal a bunch of Snowcats. Thanks @TELUS for being such good sports! https://t.co/RJeiW2PLHw'}","{'date': '02/05/2019, 10:30:25', 'full_text': 'RT @UN: A kind message 💬\nA smile 😀\nA like 👍\n\nThis #SaferInternetDay, take the time to be kind online and make a big difference to someone’s…'}"
240,"{'date': '07/22/2019, 12:31:16', 'full_text': 'RT @ThorgyThor: See you WED night Nova Scotia! THORCHESTRA brand new show! @symphonyns with conductor danielbartholomewpoyser and @kirkland…'}","{'date': '04/08/2016, 14:30:43', 'full_text': ""Are babies designing our baby monitors? Spoiler: yes. @AtlSecCon attendants won't be buying cameras any time soon. https://t.co/LEd2K8AgVI""}","{'date': '02/05/2019, 10:29:43', 'full_text': 'RT @Aubert_RSB_Dal: Great initiative undertaken by academic colleagues and students. https://t.co/wX1KAfhe0t'}"
241,"{'date': '07/19/2019, 16:40:11', 'full_text': 'A huge thanks to #DalhousieU Grounds Services for giving the area in front of our marquee a beautiful touch-up! We are feeling nice and fresh for our upcoming summer shows https://t.co/YKJ873vpvS'}","{'date': '04/07/2016, 20:10:03', 'full_text': 'Custom Cards Against Security deck from @Fortinet. The @dalfcs will definitely get a kick out of this. @AtlSecCon https://t.co/eIrQVzs7La'}","{'date': '02/03/2019, 12:24:47', 'full_text': 'RT @theworldindex: Best Countries for Quality of Life, 2019:\n\n1.🇨🇦CAN\n2.🇸🇪SWE\n3.🇩🇰DEN\n4.🇳🇴NOR\n5.🇨🇭SUI\n6.🇫🇮FIN\n7.🇦🇺AUS\n8.🇳🇱NED\n9.🇳🇿NZL\n10.🇩🇪…'}"
242,"{'date': '07/18/2019, 12:21:45', 'full_text': ""#Halifax! There are a handful of tickets available for An Evening with David Sedaris in the Rebecca Cohn Auditorium on August 6! This show has been in high demand so we expect they'll sell fast. To purchase: https://t.co/gqPE5JKgNE https://t.co/trQbLxJ1Xw""}","{'date': '04/07/2016, 17:30:34', 'full_text': 'Ethics references taken to the next level at @AtlSecCon. And no, there was no beer served. https://t.co/jdx0m5NgCc'}","{'date': '02/02/2019, 22:51:08', 'full_text': 'So many fabulous acts at the DCSSA New Years party - talented and amazing! https://t.co/Bw9MbpUzOq'}"
243,"{'date': '07/17/2019, 17:00:24', 'full_text': ""RT @SymphonyNS: ✨NEXT WEDNESDAY: THORGY AND THE THORCHESTRA✨\n\n@ThorgyThor returns after last year's sold-out concerts! Come hear brand-new…""}","{'date': '04/07/2016, 16:03:34', 'full_text': ""RT @ncphi: Lessons from #AtlSecCon (1) Don't  taunt unstable dictators with unflattering movies.""}","{'date': '02/02/2019, 22:33:20', 'full_text': 'Celebrating New Year with the Dal Chinese Student and Scholar Association! https://t.co/eeU4IBmu3h'}"
244,"{'date': '07/17/2019, 13:43:02', 'full_text': ""We can't wait to see Could I Have This Dance? on our stage! #Halifax https://t.co/jd7Hr6XKRz""}","{'date': '04/07/2016, 14:27:07', 'full_text': 'Dalhousie CSS President and VPE are attending @AtlSecCon 2016! Lots of swag and great presentations so far. https://t.co/4zljtqnCZA'}","{'date': '01/31/2019, 23:54:31', 'full_text': 'RT @DalHRES: Music | Food | African Drumming | Join us for the launch of African Heritage Month and to honor trailblazers in our community;…'}"
245,"{'date': '07/17/2019, 11:41:34', 'full_text': '#Halifax! Check out @rendcollective\'s latest single, ""Your Name is Power""! They bring their Revival Anthem Tour to the Rebecca Cohn Auditorium on September 22. To purchase: https://t.co/gqPE5JKgNE https://t.co/cAQKaVmHB7'}","{'date': '04/04/2016, 23:03:04', 'full_text': ""If you're not in the learning centre during exams, I want your schedule. #LearningCentreJokes #Exams #EmilyVPI https://t.co/kwc7GUPsma""}","{'date': '01/19/2019, 20:49:23', 'full_text': 'Games night is in full swing at the International Centre. Thank you Calvino and Sharon and family!! https://t.co/mQlFbJzlOX'}"
246,"{'date': '07/11/2019, 13:52:14', 'full_text': 'There are a lot of great opportunities around #Halifax to catch free music this week! Check out the @HFXJazzFest schedule: https://t.co/xG9JwtD7KJ https://t.co/YTnUcffwu8'}","{'date': '04/02/2016, 20:06:41', 'full_text': 'RT @OceanTracking: . @shiftkeylabs room is buzzing at the #OTNtrackathon https://t.co/NKcyDihRvz'}","{'date': '01/15/2019, 21:55:27', 'full_text': '@DalPres @DalhousieU @teribalser @dalagriculture Welcome from the International Centre!'}"
247,"{'date': '07/11/2019, 13:38:10', 'full_text': ""We're listening to our favourite @MattMays songs in the office today (&amp; there are a lot of them!). Did you know we now have 2 shows on sale for his Howl At The Night tour stop in #Halifax, presented by @SonicConcerts ? Join us in the Cohn on Nov 15/16! \nhttps://t.co/juvKJDOjyx""}","{'date': '04/01/2016, 23:24:32', 'full_text': 'The second home to Dal CS students is just the right tint of green. https://t.co/0t4B75bJHV'}","{'date': '01/15/2019, 21:51:22', 'full_text': ""RT @DalhousieESL: If English isn't your first language and you are in a graduate degree, you might be interested in one of our advanced Eng…""}"
248,"{'date': '07/10/2019, 16:27:15', 'full_text': 'RT @kayleighem_: #Halifax, have you not been to the Symphony? I mean, like, not ever, or not since that one time 7 years ago, or whatever i…'}","{'date': '03/31/2016, 00:57:24', 'full_text': 'Congratulations to the new CSS executive! What a great and diverse team we have this year. https://t.co/4nwltgDEAn'}","{'date': '01/09/2019, 00:37:46', 'full_text': ""RT @rgwooden: Management Career Services at Dalhousie's Faculty of Management is seeking a talented individual to work with our amazing stu…""}"
249,"{'date': '07/10/2019, 15:01:52', 'full_text': 'RT @SymphonyNS: Read what #Thorgy had to say about the original #Thorchestra show in this fun Q&amp;A: https://t.co/iszEzE6zlI #concert #sympho…'}","{'date': '03/30/2016, 22:36:31', 'full_text': 'Hardcore constitutional amendments at the @DalWiTS AGM. Enjoying the democracy. https://t.co/7o7mnTX1DU'}","{'date': '01/09/2019, 00:36:40', 'full_text': ""RT @univcan: International study experiences enable Canada's youth to develop crucial 21st century skills that help Cdn businesses succeed.…""}"
250,"{'date': '07/09/2019, 13:46:28', 'full_text': ""RT @ImperialTheatre: If you're buying tickets, please make sure you're going through a theatre's website.\n\nWe have spent HOURS on the phone…""}","{'date': '03/30/2016, 22:30:56', 'full_text': ""@DalWiTS We're looking forward to working with you over the next year! #TechBuddies""}","{'date': '01/09/2019, 00:33:49', 'full_text': 'RT @sblairreid: Greater Love via @@MyHFXExperience https://t.co/aHeADNyv7u'}"
251,"{'date': '07/08/2019, 13:31:21', 'full_text': 'RT @SymphonyNS: Single tickets for all of our 2019/20 concerts will be going on sale August 1 at 12pm, through the @DalArtsCentre Box Offic…'}","{'date': '03/26/2016, 19:32:43', 'full_text': 'New style for Geek Films tonight. Hopefully this will improve the view for many! Come on out at 5pm! https://t.co/hKMAkgHaKL'}","{'date': '01/08/2019, 15:23:23', 'full_text': 'RT @DalhousieU: For someone from a small town in Ontario, who wants to major in marine biology, studying in New Zealand or Australia would…'}"
